record_id,pubmedID,title,authors,abstract,year,label_included,label_abstract_screening
1,10203431,Quality of life in arthritis patients using nonsteroidal anti-inflammatory drugs.,I Wiklund,"Arthritis is a painful and disabling condition. To suppress the pain and the inflammatory process, patients are often chronic nonsteroidal anti-inflammatory drug (NSAID) users. Chronic use of NSAIDs may induce peptic ulcer, dyspeptic problems and heartburn. Therefore, these patients are often provided with treatment to relieve and/or protect against gastrointestinal problems. Rheumatic disorders also affect a range of health-related quality of life domains. In one study, patients with NSAID-associated gastroduodenal lesions complained about lack of energy, sleep disturbances, emotional distress and social isolation in addition to pain and mobility limitations. The degree of distress and dysfunction differed markedly from scores in an unselected population. Clinical trial data suggest that acid-suppressing therapy with omeprazole is superior to therapy with misoprostol and ranitidine in healing gastroduodenal lesions and preventing abdominal pain, heartburn and indigestion symptoms during continued NSAID treatment. Because arthritic patients are severely incapacitated by their condition regarding most aspects of health-related quality of life, it is important to offer a treatment that is effective in healing and preventing NSAID-induced ulcers and gastrointestinal symptoms during continued NSAID treatment without further compromising the patients' quality of life. Treatment with omeprazole once daily has been shown to be superior to that with ranitidine and misoprostol in this respect.",2000.0,0,0
2,10234601,The safety profile of nonprescription ibuprofen in multiple-dose use: a meta-analysis.,D E Kellstein; J A Waksman; S A Furey; G Binstok; S A Cooper,"A meta-analysis was performed to compare the incidence of adverse experiences (AEs) during the multiple-dose use of nonprescription ibuprofen to a placebo. Eight studies, with doses ranging from 800 to 1200 mg/day and durations of 1 to 10 days, met the criteria for inclusion. AEs were classified according to COSTART, except that ""abdominal pain"" was conservatively reassigned to the digestive system. In each study, the overall AE frequency among ibuprofen-treated subjects (n = 1094) was numerically less than or equal to the placebo (n = 1093). Pooled across all studies, placebo subjects reported AEs significantly (p = 0.018) more often (31.7%) than ibuprofen subjects (27.4%). The frequency of digestive system AEs was comparable (p = 0.420) for the placebo (11.0%) and ibuprofen (12.1%); there was no significant difference for any specific digestive system AE. AE frequency in the ""body-as-a-whole"" category was significantly higher (p < 0.001) in the placebo (20.4%) than in ibuprofen (14.8%). The number of severe AEs in all of these categories was lower for ibuprofen than for the placebo. These data indicate that nonprescription ibuprofen has an excellent side effect profile in multiple-dose use, with a frequency of gastrointestinal AEs comparable to a placebo.",1999.0,0,1
3,10325662,,,,,0,0
4,10369404,"Comparative efficacy and safety of nimesulide and diclofenac in patients with acute shoulder, and a meta-analysis of controlled studies with nimesulide.",W Wober,"Adverse events, particularly gastrointestinal, partially offset the therapeutic value of NSAIDs. The abilities of nimesulide to inhibit COX-2 preferentially and to exert other novel anti-inflammatory actions are consistent with good efficacy and safety. This is borne out by a double-blind multicentre comparison of nimesulide and diclofenac in 122 patients with acute shoulder, and by a meta-analysis of various nimesulide trials. At the end of the 14 day double-blind study, nimesulide was at least as effective as diclofenac (investigator ratings: good/very good in 79.0% of patients given nimesulide, and 78.0% with diclofenac; patient ratings: good/very good in 82.3 and 78.0% respectively). Four patients (6.5%) dropped out in the nimesulide group (two early recovery, one lack of effect, one adverse event), compared with 13 (21.7%) in the diclofenac group, due mainly to adverse events (P=0.003). Global tolerability was judged by the investigators to be good/very good in 96.8% of the nimesulide group compared with 72.9% of those given diclofenac. Judgements by the patients were 96.8 and 78.0% respectively. Both differences are highly significant statistically. The meta-analysis demonstrates that nimesulide given for 2 weeks is far more efficacious than placebo in treating osteoarthritis, and is at least comparable to other NSAIDs The benefit-risk ratio for nimesulide was better in all individual studies since 100 mg nimesulide twice daily was about equal to placebo in safety and tolerability, especially regarding gastrointestinal adverse events.",1999.0,0,1
5,10369405,"Economic comparison of nimesulide and diclofenac, and the incidence of adverse events in the treatment of rheumatic disease in Greece.",L Liaropoulos,"In Greece a 15-day treatment of rheumatic disease with diclofenac costs 56% more than treatment with nimesulide. This is due to the lower incidence of gastrointestinal adverse events with nimesulide, and the absence of serious gastrointestinal complications leading to hospitalization, which more than offset the higher acquisition cost of nimesulide. The average saving by using nimesulide instead of diclofenac is about US$21 per patient for a 15-day treatment period.",1999.0,0,0
6,10380773,Occurrence of allergic conditions in asthmatics with analgesic intolerance.,A F Kalyoncu; G Karakaya; A A Sahin; Y I Bariş,"The study aimed to determine whether allergic conditions accompany analgesic intolerance. A total of 132 analgesic-intolerant patients with bronchial asthma admitted to the adult allergy unit from January 1991 to October 1997 and 103 patients with bronchial asthma randomly selected from among the asthmatics referred to our department between January and October 1997 were enrolled in the study. Those having analgesic intolerance and bronchial asthma were accepted as group I; patients having only asthma were accepted as group II. A standard questionnaire was completed for all the patients. Physical examination, routine skin prick tests, determination of total IgE levels and blood type, and oral analgesic provocation tests were also performed. The results showed that some allergic conditions were significantly more common in group I (22.7% and 7.8% for food allergy/intolerance [P<0.05], 16.7% and 7.8% for antibiotic allergy, 16.7% and 2.9% for dermographism, 9.8% and 1.0% for metal allergy, and 9.1% and 1.0% for chronic urticaria for groups I and II, respectively [P<0.001]). In addition, the mean of the total IgE level in the serum was higher in group I than group II (77.6 and 53.7 IU/ml; P<0.05), and the cumulative analgesic consumption was more in group I (14.2+/-17.1 and 9.1+/-12.5 boxes; P<0.05). Dermographism; chronic urticaria; antibiotic, metal, and food allergy; high levels of total IgE; and a high amount of cumulative analgesic consumption may be the conditions accompanying analgesic intolerance in asthmatics.",1999.0,0,0
7,10383505,Specific inhibition of cyclooxygenase-2 with MK-0966 is associated with less gastroduodenal damage than either aspirin or ibuprofen.,F L Lanza; M F Rack; T J Simon; H Quan; J A Bolognese; M E Hoover; F R Wilson; S E Harper,"Compared with currently available NSAIDs (which inhibit COX-1 and COX-2 isoforms of cyclooxygenase), MK-0966 (a specific COX-2 inhibitor) is expected to cause less gastrointestinal toxicity. To compare the effect on the upper gastrointestinal mucosae of a high dose of MK-0966 with that of conventional doses of ibuprofen and aspirin. Healthy subjects (n = 170; age range 18-54 years) with endoscopically normal gastric and duodenal mucosa were randomized to either MK-0966 250 mg q.d. (n = 51), ibuprofen 800 mg t.d.s. (n = 51), aspirin 650 mg q.d.s. (n = 17), or placebo (n = 51) in this 7-day, double-blind, parallel-group study. The mucosae were evaluated by endoscopy using a predefined scale; scores could range from 0 to 4. The primary end-point was the percentage of subjects who developed a mucosal score >/= 2 (i.e. the development of one or more erosions). To evaluate COX-1 activity, serum thromboxane B2 levels were determined in a subset of the population. The percentage of subjects who developed a mucosal score >/= 2 in the MK-0966 group (12%) was significantly lower (P < 0.001) than that in the ibuprofen (71%) and aspirin (94%) groups, and was similar to that in the placebo group (8%). Only ibuprofen and aspirin significantly (P < 0.0001) reduced baseline thromboxane B2 levels. All treatments were generally well tolerated. In this acute short-term endoscopic study, MK-0966 250 mg q.d. (a dose at least 10 times higher than that demonstrated to reduce the signs and symptoms of osteoarthritis) produced significantly less gastrointestinal mucosal damage than either ibuprofen 800 mg t.d.s. or aspirin 650 mg q.d.s. and was comparable to placebo in this regard.",1999.0,0,0
8,10440619,"Analgesic efficacy of the cyclooxygenase-2-specific inhibitor rofecoxib in post-dental surgery pain: a randomized, controlled trial.",B W Morrison; S Christensen; W Yuan; J Brown; S Amlani; B Seidenberg,"Previous data have suggested that rofecoxib, a cyclooxygenase (COX)-2-specific inhibitor, had analgesic effects similar to those of the nonsteroidal anti-inflammatory drugs when tested in the post-dental surgery pain model. The objective of this parallel-group, double-masked, randomized, placebo- and active comparator-controlled clinical trial was to assess more fully the analgesic efficacy of rofecoxib in the treatment of postoperative dental pain. After dental surgery, 151 patients (50.3% women; mean age, 18.3 years; 93.4% white) experiencing moderate-to-severe pain were to receive a single dose of placebo, rofecoxib 50 mg, or ibuprofen 400 mg. Analgesic efficacy was assessed for up to 24 hours postdose using self-administered questionnaires. Tolerability was assessed using spontaneous reports of adverse experiences, physical findings, and laboratory measurements. The results of this study demonstrated that rofecoxib 50 mg was more effective than placebo on all measures of analgesic efficacy. Rofecoxib 50 mg exhibited overall analgesic effects, onset of analgesia, and peak analgesic effects that were not significantly different from those of ibuprofen 400 mg, with a significantly longer duration of action (P < 0.05). We concluded that rofecoxib was efficacious in the treatment of postoperative dental pain and that COX-2-derived prostanoids play a role in treatment of the pain associated with dental surgery.",1999.0,0,0
9,10485502,Efficacy and tolerability of the specific cyclooxygenase-2 inhibitor DFP compared with naproxen sodium in patients with postoperative dental pain.,K Gottesdiener; D R Mehlisch; M Huntington; W Y Yuan; P Brown; B Gertz; S Mills,"DFP [3-(2-propyloxy)-(4-methyl-sulfonylphenyl)-(5,5-dimethyl)-fu ranone] is a highly specific cyclooxygenase-2 inhibitor (>2500-fold selective in transfected Chinese hamster ovary cell assays) that has demonstrated efficacy in preclinical models of pain and inflammation. The present single-dose, randomized, double-masked, double-dummy, placebo-controlled, parallel-group study was undertaken to compare DFP 5, 25, and 50 mg with naproxen sodium 550 mg and with placebo in 196 patients (mean age, 25.8 years; 187 [95.4%] males) who experienced moderate-to-severe pain after surgical removal of > or =2 third molars. Overall analgesic effect, duration of effect, time to onset of analgesic effect, peak analgesic effect, and tolerability were assessed over a 24-hour postdose period. Both DFP 25 and 50 mg, as well as the active comparator, naproxen sodium 550 mg, were significantly more effective than placebo. The onset of analgesic effect in the DFP 25-mg, DFP 50-mg, and naproxen sodium 550-mg groups did not differ significantly. DFP was generally well tolerated in single doses up to 50 mg. DFP 50 mg was efficacious in the treatment of postoperative dental pain and was indistinguishable from the active comparator, naproxen sodium 550 mg.",1999.0,0,0
10,10491346,Non-steroidal anti-inflammatory drugs and renal response to exercise: a comparison of indomethacin and nabumetone.,N V Olsen; N G Jensen; J M Hansen; N J Christensen; N Fogh-Andersen; I L Kanstrup,"Nabumetone, a newer non-steroidal anti-inflammatory drug (NSAID) which preferentially blocks cyclo-oxygenase-2 activity, may be less nephrotoxic than indomethacin. This study tested whether nabumetone has effects different from those of indomethacin on exercise-induced changes in renal function and the renin-aldosterone system. In a randomized fashion, ten subjects were studied after indomethacin (100 mg), nabumetone (1 g) or no medication (control) administered orally at 22.00 hours on the day before each study day, and again at 8.00 hours upon arrival at the laboratory. Renal function was studied at baseline, during graded 20-min exercise sessions at 25%, 50% and 75% of the maximal oxygen uptake rate, and subsequently during two 1-h recovery periods. Heart rate, arterial blood pressure, cardiac output and plasma catecholamines at rest and during exercise were not altered by indomethacin or nabumetone. Indomethacin decreased urinary rates of excretion of 6-oxo-prostaglandin F(1alpha) (6-oxo-PGF(1alpha)) and thromboxane B(2) in all study periods. Nabumetone decreased 6-oxo-PGF(1alpha) excretion during and after exercise. Excretion rates for PGE(2) did not change. Neither indomethacin nor nabumetone changed baseline values or exercise-induced decreases in renal plasma flow or glomerular filtration rate. Indomethacin, but not nabumetone, decreased sodium excretion, urine flow rate and free water clearance. The renal response to exercise, however, remained unchanged. In contrast with nabumatone, indomethacin decreased the plasma renin concentration. Thus, during exercise, nabumetone may decrease the excretion of 6-oxo-PGF(1alpha) by inhibition of cyclo-oxygenase-1 or by inhibition of specific exercise-induced activation of cyclo-oxygenase-2, or both. None of the drugs changed the renal response to exercise. Inhibition by indomethacin of angiotensin II and thromboxane A(2) synthesis may, during exercise, counterbalance renal vasoconstriction caused by blockade of vasodilatory prostaglandins.",1999.0,0,0
11,10500058,"A randomized trial comparing the effect of rofecoxib, a cyclooxygenase 2-specific inhibitor, with that of ibuprofen on the gastroduodenal mucosa of patients with osteoarthritis. Rofecoxib Osteoarthritis Endoscopy Study Group.",L Laine; S Harper; T Simon; R Bath; J Johanson; H Schwartz; S Stern; H Quan; J Bolognese,"Prostaglandin production in the normal gastrointestinal tract, believed to be critical for mucosal integrity, is mediated by cyclooxygenase (COX)-1, whereas prostaglandin production at inflammatory sites seems to occur via induction of COX-2. We hypothesized that COX-2-specific inhibition with rofecoxib (25 mg once daily) in the treatment of patients with osteoarthritis would cause fewer gastroduodenal ulcers than an equally effective dose of ibuprofen (800 mg 3 times a day), a nonspecific COX inhibitor. A total of 742 osteoarthritis patients without ulcers on baseline endoscopy were randomly assigned to receive rofecoxib (25 or 50 mg once daily), ibuprofen (800 mg 3 times daily), or placebo. Endoscopy was repeated at 6, 12, and 24 weeks. At 16 weeks, by study design, 95% of the placebo group and 5% of the other groups were discontinued. The cumulative incidence of gastroduodenal ulcers >/=3 mm with rofecoxib (25 or 50 mg once daily) was significantly (P < 0.001) lower than with ibuprofen and was statistically equivalent to placebo at week 12 (placebo, 9.9%; 25 mg rofecoxib, 4.1%; 50 mg rofecoxib, 7.3%; and ibuprofen, 27.7%). At 24 weeks, ulcer rates were 25 mg rofecoxib, 9. 6%; 50 mg rofecoxib, 14.7%; and ibuprofen, 45.8% (P < 0.001, ibuprofen vs. 25 and 50 mg rofecoxib). Rofecoxib, at doses 2-4 times the dose demonstrated to relieve symptoms of osteoarthritis, caused significantly less gastroduodenal ulceration than ibuprofen, with ulcer rates comparable to placebo.",1999.0,1,1
12,10511349,"Rofecoxib, a specific cyclooxygenase-2 inhibitor, in primary dysmenorrhea: a randomized controlled trial.",B W Morrison; S E Daniels; P Kotey; N Cantu; B Seidenberg,"To determine whether rofecoxib is effective for treating primary dysmenorrhea and whether cyclooxygenase-2 is involved in the pathophysiology of primary dysmenorrhea. A double-masked, randomized, placebo and active-comparator-controlled clinical trial including 127 subjects with histories of primary dysmenorrhea was conducted in an outpatient clinical research center. Subjects were randomly assigned to placebo, rofecoxib 25 or 50 mg followed by 25 mg every 24 hours as needed, or naproxen sodium 550 mg every 12 hours as needed for up to 3 days. Subjects took all four treatments in a balanced, complete-block, crossover design. Measurements included self-administered questionnaires of analgesic efficacy, spontaneous reports of adverse experiences, physical examinations, and laboratory safety tests. Rofecoxib 25 and 50 mg provided analgesic efficacy greater than placebo (P < or = .006) for the primary endpoint of total pain relief over the first 8 hours. For other efficacy endpoints (sum of the pain intensity difference over the first 8 hours, subject's global evaluation, peak pain relief, peak pain intensity difference, and time to remedication) both doses of rofecoxib were better than placebo (P < or = .006) and were not distinguishable from naproxen sodium for all efficacy endpoints. All treatments were well tolerated. Rofecoxib effectively treated primary dysmenorrhea, and cyclooxygenase-2-derived prostanoids play a role in the pathophysiology of primary dysmenorrhea.",1999.0,0,0
13,10515650,Defining disease activity in ankylosing spondylitis: is a combination of variables (Bath Ankylosing Spondylitis Disease Activity Index) an appropriate instrument?,A Calin; J P Nakache; A Gueguen; H Zeidler; H Mielants; M Dougados,"Disease activity has been defined using a self-administered instrument, focusing on fatigue, axial pain, peripheral pain, enthesopathy and morning stiffness [Bath Ankylosing Spondylitis Disease Activity Index (BASDAI)]. This validated instrument is simple and takes 40 s to complete, but whether the index is an accurate expression of the component parts, or whether additional weighting would enhance its efficacy, is unclear. Four hundred and seventy-three patients with ankylosing spondylitis received placebo or active non-steroidal anti-inflammatory drug (NSAID) for 6 weeks, and changes between entry and completion were captured by BASDAI and the individual components. Principle component analysis (PCA) was used to explore the best combinations of variables in decreasing order of explained total dispersion and to assess whether a single sum (or algebraic expression) best defined disease activity status. At entry, the correlation between BASDAI and the first axis was 0.99, 0.11 with the second, and zero thereafter. Data at study end and relating to change revealed a 100% correlation (R = 1) between the first axis and the sum, with zero for the remainder. The data support BASDAI as being a valid and appropriate composite to define disease activity in ankylosing spondylitis. Developed as a simple sum of its components, BASDAI has excellent content validity.",1999.0,0,0
