openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1177/0022219409355475,,1,1,
,https://doi.org/10.1080/19345747.2012.706694,,1,1,
,https://doi.org/10.1080/19345747.2014.906010,,1,1,
,https://doi.org/10.1037/a0032581,,1,1,
,https://doi.org/10.1080/02796015.2011.12087720,,1,1,
,https://doi.org/10.1177/0014402918802801,,1,1,
,https://doi.org/10.1044/2014_LSHSS-13-0008,,1,1,
,https://doi.org/10.1177/1525740114548917,,1,1,
,https://doi.org/10.1177/0265659009349985,,1,1,
,https://doi.org/10.1080/19388070902875173,,1,1,
,https://doi.org/10.1177/0022219409355472,,1,1,
,https://doi.org/10.1080/09362835.2014.865952,,1,1,
,https://doi.org/10.1177%2F001440291107700204,,1,1,
,https://doi.org/10.1177/00222194070400040401,,1,1,
,https://doi.org/10.1080/19345747.2017.1375582,,1,1,
,https://doi.org/10.1177/0022219409338742,,1,1,
,https://doi.org/10.1007/s11145-008-9119-9,,1,1,
,https://doi.org/10.1080/10888430903162894,,1,1,
,https://doi.org/10.1037/a0019639,,1,1,
,https://doi.org/10.1037/0022-0663.98.3.508,,1,1,
,https://doi.org/10.1177/07419325060270060601,,1,1,
,https://doi.org/10.1177/00222194070400060301,,1,1,
,https://doi.org/10.1080/02568543.2017.1418771,,1,1,
,https://doi.org/10.1080/00220671.2017.1393650,,1,1,
,https://doi.org/10.1017/sjp.2018.3,,0,0,
,https://doi.org/10.1016/j.erap.2019.100471,,0,0,
,https://doi.org/10.3389/fpsyg.2020.00327,,0,0,
,https://doi.org/10.1007/s11881-018-0159-9,,0,0,
,https://doi.org/10.3389/fpsyg.2020.01700,,0,0,
,https://doi.org/10.1177/0022219411420571,,0,0,
,https://doi.org/10.1016/j.jsp.2020.01.003,,0,0,
,https://doi.org/10.1177/0022219419847154,,0,0,
,https://doi.org/10.1177/00222194060390040701,,0,0,
,https://doi.org/10.1044/2016_JSLHR-L-15-0451,,0,0,
,https://doi.org/10.1002/pits.22240,,0,0,
,https://doi.org/10.1044/2019_AJSLP-18-0299,,0,0,
,,,0,0,
,https://doi.org/10.1002/dys.1616,,0,0,
,https://doi.org/10.1007/s11881-020-00198-7,,0,0,
,https://doi.org/10.3390/educsci10030052,,0,0,
,https://doi.org/10.1002/dys.1526,,0,0,
,https://doi.org/10.1086/694322,,0,1,
,https://doi.org/10.1177/0022219414521664,,0,1,
,https://doi.org/10.1111/1467-9817.12274,,0,0,
,https://doi.org/10.1002/dys.1450,,0,0,
,https://doi.org/10.3102/0002831207302175,,0,1,
,https://doi.org/10.1007/s11881-020-00197-8,,0,0,
,https://doi.org/10.1177/0741932517750818,,0,0,
,https://doi.org/10.1037/edu0000402,,0,0,
,https://doi.org/10.1037/edu0000184,,0,0,
,https://doi.org/10.1080/20473869.2018.1489994,,0,0,
,https://doi.org/10.1177/0022219419851757,,0,0,
,https://doi.org/10.1086/686249,,0,1,
,https://doi.org/10.1111/ldrp.12191,,0,0,
,https://doi.org/10.1111/1467-9817.12110,,0,1,
,https://doi.org/10.1891/JCEP-D-20-00015,,0,0,
,https://doi.org/10.1177/0022219418775113,,0,0,
,https://doi.org/10.1044/2018_LSHSS-DYSLC-18-0022,,0,0,
,https://doi.org/10.1177/0022219415617163,,0,0,
,https://doi.org/10.1177/00222194060390010601,,0,0,
,https://doi.org/10.1177/0022219416664866,,0,0,
,https://doi.org/10.1016/j.ridd.2017.05.003,,0,0,
,https://doi.org/10.1080/10888438.2019.1669607,,0,1,
,https://doi.org/10.1002/cad.20292,,0,0,
,https://doi.org/10.1007/s11145-019-09948-5,,0,0,
,https://doi.org/10.1086/691684,,0,1,
,https://doi.org/10.1177/1525740119838253,,0,0,
,https://doi.org/10.1002/pits.22343,,0,0,
,https://doi.org/10.1080/10888438.2017.1287187,,0,0,
,https://doi.org/10.1177/0022219419894563,,0,0,
,https://doi.org/10.1016/j.ridd.2019.103507,,0,0,
,https://doi.org/10.1002/cad.20306,,0,0,
,https://doi.org/10.1177/0731948719861106,,0,0,
,https://doi.org/10.1002/dys.1556,,0,0,
,https://doi.org/10.1177/0143034318796875,,0,0,
,https://doi.org/10.1007/s11145-019-09983-2,,0,0,
,https://doi.org/10.1111/jcal.12488,,0,0,
