pmid,doi,openalex_id,label_included,method
https://pubmed.ncbi.nlm.nih.gov/25174419,https://doi.org/10.1080/15226514.2013.828011,https://openalex.org/W2011365242,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24648961,https://doi.org/10.3892/br.2013.79,https://openalex.org/W2055006115,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24553011,https://doi.org/10.1016/s1734-1140(13)71524-x,https://openalex.org/W2011467689,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24262414,https://doi.org/10.1590/s2176-94512013000400006,https://openalex.org/W2148772566,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24225091,https://doi.org/10.2166/wst.2013.442,https://openalex.org/W2324068954,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24191605,https://doi.org/10.1016/s1001-0742(12)60165-x,https://openalex.org/W2078997158,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24191495,https://doi.org/10.1080/09593330.2012.760654,https://openalex.org/W2065270681,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24188190,https://doi.org/10.1080/15287394.2013.834856,https://openalex.org/W2042008716,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24187577,https://doi.org/10.1586/17474108.2013.811939,https://openalex.org/W2127275710,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24179429,https://doi.org/10.2478/intox-2013-0010,https://openalex.org/W1981267098,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24133740,,https://openalex.org/W4300572822,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24120001,,https://openalex.org/W2419366018,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24094022,https://doi.org/10.1590/s2176-94512013000300020,https://openalex.org/W2112682536,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24083327,https://doi.org/10.1186/bcr3494,https://openalex.org/W2137766269,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24056428,https://doi.org/10.2166/wst.2013.373,https://openalex.org/W2006793204,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24053363,https://doi.org/10.1080/15287394.2013.824395,https://openalex.org/W2062520652,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24037150,https://doi.org/10.2166/wst.2013.340,https://openalex.org/W2333231365,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24024361,,https://openalex.org/W2439418342,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/24003693,,https://openalex.org/W2414185053,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23997953,https://doi.org/10.1155/2013/437857,https://openalex.org/W2061330126,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23986791,https://doi.org/10.2174/1874210601307010062,https://openalex.org/W2011140502,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23984391,https://doi.org/10.1155/2013/629235,https://openalex.org/W1985063253,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23951766,,https://openalex.org/W770127377,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23947051,,https://openalex.org/W2360226810,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23947039,,https://openalex.org/W2358155059,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23925184,https://doi.org/10.2166/wst.2013.282,https://openalex.org/W1983853228,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/23925178,https://doi.org/10.2166/wst.2013.234,https://openalex.org/W2161903798,0,id_retrieval_pmid
