doi,label_included
https://doi.org/10.1016/s0015-0282(03)00613-7,0
https://doi.org/10.4085/1062-6050-43.1.14,0
,0
,0
https://doi.org/10.2340/16501977-2268,0
https://doi.org/10.1186/s12871-016-0277-z,0
https://doi.org/10.1007/s00402-007-0518-1,0
https://doi.org/10.1007/s00586-019-06035-9,0
https://doi.org/10.1186/s12891-019-2695-9,0
https://doi.org/10.1016/j.jmpt.2017.02.012,0
https://doi.org/10.1097/ajp.0000000000000471,0
https://doi.org/10.1097/aln.0b013e31821a8ad4,0
https://doi.org/10.1227/neu.0b013e3182315f05,0
https://doi.org/10.1097/00000542-200409000-00007,0
https://doi.org/10.1136/bmjopen-2017-017882,0
https://doi.org/10.1213/ane.0b013e318163fbfe,0
https://doi.org/10.1111/j.1399-6576.2008.01814.x,0
https://doi.org/10.1302/0301-620x.99b10.bjj-2016-1292.r2,0
https://doi.org/10.1016/j.spinee.2013.09.031,0
https://doi.org/10.2522/ptj.20080052,0
https://doi.org/10.1097/brs.0000000000002954,0
https://doi.org/10.1046/j.1523-1755.2000.00890.x,0
https://doi.org/10.1016/j.ejpain.2008.01.014,0
https://doi.org/10.1007/s00590-015-1692-4,0
https://doi.org/10.1007/s00586-012-2643-y,0
https://doi.org/10.1016/j.jacr.2015.06.026,0
https://doi.org/10.1016/j.spinee.2016.06.022,0
https://doi.org/10.1136/bmj.a143,0
https://doi.org/10.1007/s00586-014-3748-2,0
https://doi.org/10.1016/j.athoracsur.2010.11.014,0
https://doi.org/10.1007/s11999-008-0435-9,0
https://doi.org/10.1097/brs.0b013e3181ab6a78,0
https://doi.org/10.1007/s00586-016-4917-2,0
https://doi.org/10.1097/01.brs.0000092220.66650.2b,0
https://doi.org/10.1097/md.0000000000016627,0
https://doi.org/10.1359/jbmr.050105,0
https://doi.org/10.36076/ppj/2019.19.229,0
https://doi.org/10.1097/00000542-200302000-00011,0
https://doi.org/10.1213/01.ane.0000266451.77524.0d,0
https://doi.org/10.1016/j.pmrj.2015.08.010,0
https://doi.org/10.2519/jospt.2010.3141,0
https://doi.org/10.1016/s0952-8180(01)00241-0,0
,0
https://doi.org/10.1213/ane.0000000000001984,0
https://doi.org/10.5137/1019-5149.jtn.8575-13.0,0
https://doi.org/10.1515/sjpain-2017-0180,0
https://doi.org/10.1055/s-2007-993202,0
https://doi.org/10.1097/00007632-200102150-00020,0
https://doi.org/10.1097/brs.0000000000001218,0
https://doi.org/10.3233/bmr-2009-0224,0
https://doi.org/10.1016/j.jcrc.2016.10.006,0
https://doi.org/10.1016/j.pec.2011.05.024,0
https://doi.org/10.1097/00000539-200210000-00051,0
https://doi.org/10.1097/brs.0b013e3181d345e0,0
https://doi.org/10.3171/2017.5.spine16824,0
https://doi.org/10.1007/s00586-013-3155-0,0
https://doi.org/10.1093/bja/aen160,0
https://doi.org/10.12659/msm.883833,0
https://doi.org/10.1359/jbmr.2003.18.11.1932,0
https://doi.org/10.1177/2192568217737317,0
https://doi.org/10.1007/s00132-018-3610-z,0
https://doi.org/10.1111/j.1365-2044.2004.03705.x,0
https://doi.org/10.1097/01.brs.0000241135.79983.52,0
https://doi.org/10.1097/01.brs.0000062354.26905.b8,0
,0
https://doi.org/10.1213/ane.0b013e3182910c4d,0
https://doi.org/10.1210/jc.2008-2742,0
https://doi.org/10.1097/00007632-200201010-00005,0
https://doi.org/10.1111/j.1742-7843.2010.00559.x,0
