openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w2042380043,https://doi.org/10.1080/10401334.2011.536890,,,0,0
https://openalex.org/w4232773367,https://doi.org/10.1921/095182412x659954,,,0,0
https://openalex.org/w1984395590,https://doi.org/10.1080/07303084.2014.897568,,,0,0
https://openalex.org/w226496454,,,,0,0
https://openalex.org/w2570887637,https://doi.org/10.1080/02615479.2016.1274725,,,0,0
https://openalex.org/w2104244112,https://doi.org/10.1016/j.jneb.2009.08.010,,,0,0
https://openalex.org/w2055647413,https://doi.org/10.1007/s11422-011-9320-z,,,0,0
https://openalex.org/w145328401,,,,0,0
https://openalex.org/w2292690743,,,,0,1
https://openalex.org/w2142639901,https://doi.org/10.1111/j.1467-9647.2005.00233.x,,,0,0
https://openalex.org/w96759316,,,,0,0
https://openalex.org/w2075175530,https://doi.org/10.1177/003172171009100506,,,0,0
https://openalex.org/w2015444005,https://doi.org/10.1300/j054v10n02_09,,,0,0
https://openalex.org/w2339248036,,,,0,0
https://openalex.org/w2569495329,,,,0,1
https://openalex.org/w2947954735,https://doi.org/10.1186/s12909-019-1565-3,,,0,0
https://openalex.org/w4229912577,https://doi.org/10.1007/bf02117436,,,0,0
https://openalex.org/w58561971,,,,0,0
https://openalex.org/w2486172949,https://doi.org/10.2307/1512148,,,0,0
https://openalex.org/w2003962666,https://doi.org/10.2307/420921,,,0,0
https://openalex.org/w295924486,,,,0,0
https://openalex.org/w2137455312,https://doi.org/10.1177/0739456x12467375,,,0,0
https://openalex.org/w48668665,,,,0,0
https://openalex.org/w2081460541,https://doi.org/10.1155/2014/183732,,,0,0
https://openalex.org/w144092134,https://doi.org/10.31274/rtd-180813-12374,,,0,0
https://openalex.org/w2314340114,https://doi.org/10.7227/ijmee.38.1.3,,,0,0
https://openalex.org/w1570382477,https://doi.org/10.4324/9780203826911-8,,,0,0
https://openalex.org/w2062686656,https://doi.org/10.1177/1080569912470711,,,0,0
https://openalex.org/w2115186563,https://doi.org/10.3*,,,0,0
https://openalex.org/w1691928458,https://doi.org/10.15700/saje.v33n2a699,,,0,0
https://openalex.org/w2947541832,https://doi.org/10.1080/10437797.2019.1593901,,,0,0
https://openalex.org/w2340717647,,,,0,0
https://openalex.org/w1745428589,https://doi.org/10.1111/j.1467-9647.2011.00735.x,,,0,0
https://openalex.org/w119692871,,,,0,1
https://openalex.org/w2794249348,,,,0,0
https://openalex.org/w2979713093,https://doi.org/10.5688/ajpe7465,,,0,0
https://openalex.org/w1942799793,https://doi.org/10.1002/ir.20074,,,0,1
https://openalex.org/w4232233660,https://doi.org/10.1080/14697010903125522,,,0,0
https://openalex.org/w2023513816,https://doi.org/10.1007/s12129-007-9005-y,,,0,0
https://openalex.org/w32371266,https://doi.org/10.1016/j.jconrel.2020.04.049,,,0,1
https://openalex.org/w2092574278,https://doi.org/10.3109/07380577.2012.720052,,,0,0
https://openalex.org/w2975559581,,,,0,0
https://openalex.org/w2076462391,https://doi.org/10.1080/18146620903274605,,,0,1
https://openalex.org/w2045724138,https://doi.org/10.1080/13576280310001607640,,,0,0
https://openalex.org/w3024994868,,,,0,0
https://openalex.org/w2015735599,https://doi.org/10.1606/1044-3894.3970,,,0,0
https://openalex.org/w220929514,,,,0,1
https://openalex.org/w101597807,,,,0,0
https://openalex.org/w342774084,,,,0,1
https://openalex.org/w2083987271,https://doi.org/10.1080/10572250903559381,,,0,0
https://openalex.org/w2071383068,https://doi.org/10.1016/j.appet.2014.03.008,,,0,0
https://openalex.org/w2319876980,https://doi.org/10.1097/acm.0000000000000180,,,0,0
https://openalex.org/w1995615647,https://doi.org/10.1080/01634371003715577,,,0,0
https://openalex.org/w2076030311,https://doi.org/10.1080/09523987.2013.862364,,,0,0
https://openalex.org/w2040666195,https://doi.org/10.3109/13561820.2014.889102,,,0,0
https://openalex.org/w1992494033,https://doi.org/10.1207/s15328015tlm1704_1,,,0,0
https://openalex.org/w2117706354,https://doi.org/10.1353/csd.2015.0078,,,0,0
https://openalex.org/w2340261885,,,,0,0
https://openalex.org/w2048479581,https://doi.org/10.1207/s15427625tcq1002_6,,,0,0
https://openalex.org/w117636347,,,,0,0
https://openalex.org/w2499845477,https://doi.org/10.2190/resc6,,,0,0
https://openalex.org/w2021105891,https://doi.org/10.1080/02763877.2012.732459,,,0,0
https://openalex.org/w11906659,https://doi.org/10.15760/etd.1055,,,0,0
https://openalex.org/w2993181480,,,,0,0
https://openalex.org/w2107717516,https://doi.org/10.3928/0148-4834-20021001-08,,,0,0
https://openalex.org/w2017951484,https://doi.org/10.1016/j.childyouth.2009.06.002,,,0,0
https://openalex.org/w3093757224,https://doi.org/10.17760/d20316497,,,0,0
https://openalex.org/w2087166229,https://doi.org/10.1007/s12103-013-9223-5,,,0,0
https://openalex.org/w2293603087,https://doi.org/10.70953/erpv42.15013,,,0,1
https://openalex.org/w2808007368,https://doi.org/10.1109/mprv.2018.022511244,,,0,0
https://openalex.org/w2793392370,https://doi.org/10.1111/flan.12323,,,0,0
https://openalex.org/w1620128373,https://doi.org/10.3928/01484834-20061101-05,,,0,0
https://openalex.org/w2328469213,https://doi.org/10.5465/amle.2005.18122424,,,0,0
https://openalex.org/w2564441262,https://doi.org/10.1080/1045988x.2016.1263929,,,0,0
https://openalex.org/w1043779735,https://doi.org/10.1057/9781137400994_2,,,0,0
https://openalex.org/w2126903263,,,,0,0
https://openalex.org/w2085361048,https://doi.org/10.1016/j.gerinurse.2010.02.008,,,0,0
https://openalex.org/w2005724565,https://doi.org/10.1177/0092055x10364013,,,0,0
https://openalex.org/w1487555666,,,,0,0
https://openalex.org/w1559124361,,,,0,0
https://openalex.org/w2523032300,https://doi.org/10.15453/2168-6408.1260,,,0,0
https://openalex.org/w230862167,,,,0,0
https://openalex.org/w2155645373,,,,0,0
https://openalex.org/w2069825448,https://doi.org/10.2307/1318730,,,0,0
