id,id_type,label_included
10.1111/j.1538-7836.2009.03554.x,doi,1
10.1016/j.amjcard.2009.07.015,doi,1
10.1007/s00380-008-1085-2,doi,1
10.1111/j.1538-7836.2007.02775.x,doi,1
10.1111/j.1440-1681.2008.04915.x,doi,1
10.1016/j.jcin.2011.03.002,doi,1
10.1016/s0140-6736(08)61845-0,doi,1
10.1007/s12471-016-0873-z,doi,1
10.1111/j.1538-7836.2007.02722.x,doi,1
10.1016/j.thromres.2007.06.012,doi,1
10.1111/j.1538-7836.2009.03500.x,doi,1
10.1016/j.amjcard.2007.11.065,doi,1
10.2217/14622416.9.9.1251,doi,1
10.1016/j.amjcard.2008.11.048,doi,1
10.1097/FPC.0b013e3282f1b2be,doi,1
10.1001/jama.2011.1880,doi,1
10.1182/blood-2006-04-013052,doi,1
10.1016/j.amjcard.2012.04.020,doi,1
10.1038/clpt.2008.20,doi,1
10.1111/j.1538-7836.2011.04570.x,doi,1
10.1161/strokeaha.116.016463,doi,1
10.1016/j.thromres.2011.07.003,doi,1
10.1253/circj.72.1165,doi,1
10.1016/j.acvd.2013.06.055,doi,1
10.1056/NEJMoa0809171,doi,1
10.1001/jama.2011.1703,doi,1
10.1007/s11596-015-1404-7,doi,1
10.1016/j.jjcc.2015.07.019,doi,1
10.1161/circulationaha.116.024913,doi,1
10.1097/fjc.0000000000000337,doi,1
10.1001/jama.2009.1232,doi,1
10.1093/eurheartj/ehp041,doi,1
10.1038/clpt.2011.127,doi,1
10.1056/NEJMoa0808227,doi,1
10.1161/circgenetics.114.000669,doi,1
10.1016/j.jacc.2007.12.056,doi,1
10.1111/j.1538-7836.2008.03050.x,doi,1
10.1001/jama.2016.8662,doi,1
10.1016/j.ijcard.2013.06.014,doi,1
10.1007/s00228-017-2393-1,doi,1
10.18632/oncotarget.24877,doi,0
10.1161/circulationaha.109.851949,doi,0
10.1007/s00228-012-1392-5,doi,0
10.1371/journal.pone.0059344,doi,0
10.1161/circinterventions.111.962555,doi,0
10.1159/000346736,doi,0
10.1111/cns.12426,doi,0
10.1161/circulationaha.109.885194,doi,0
10.1007/s00228-012-1446-8,doi,0
10.1016/j.jacc.2009.12.071,doi,0
10.1093/eurheartj/ehr155,doi,0
10.5414/cp202911,doi,0
10.3109/09537104.2014.953044,doi,0
10.1136/hrt.2011.227272,doi,0
10.1253/circj.cj-09-0019,doi,0
10.1177/1076029616629211,doi,0
10.1001/jama.2010.1543,doi,0
10.1007/s11033-010-0282-0,doi,0
10.1016/j.ijcard.2016.09.088,doi,0
10.1016/j.amjcard.2011.05.045,doi,0
10.2147/pgpm.s5056,doi,0
10.1371/journal.pone.0110188,doi,0
10.5551/jat.28639,doi,0
10.1159/000457947,doi,0
10.1177/147323001103900548,doi,0
10.1161/strokeaha.113.000823,doi,0
10.3736/jcim20120608,doi,0
10.1182/asheducation-2014.1.343,doi,0
10.1161/circgenetics.110.958561,doi,0
10.1111/bcpt.12763,doi,0
10.1093/eurheartj/ehs059,doi,0
10.1097/mca.0000000000000092,doi,0
10.1136/hrt.2011.227652,doi,0
10.1056/NEJMoa1008410,doi,0
10.1016/j.thromres.2011.04.010,doi,0
10.1016/j.ejphar.2014.11.037,doi,0
10.1016/j.jcin.2008.09.008,doi,0
10.1016/j.thromres.2014.12.007,doi,0
10.1371/journal.pone.0132561,doi,0
10.3233/jrs-150677,doi,0
10.1111/j.1365-2125.2011.04131.x,doi,0
10.3909/ricm0590,doi,0
10.4103/0366-6999.162515,doi,0
10.1097/mjt.0000000000000416,doi,0
10.1016/j.jacc.2010.07.004,doi,0
10.1016/j.jcin.2010.12.011,doi,0
10.1016/j.thromres.2010.10.021,doi,0
10.1515/jomb-2015-0009,doi,0
10.1016/j.jvs.2014.03.293,doi,0
