id,id_type,label_included
10.1007/s11695-018-3608-y,doi,0
10.1016/j.purol.2013.03.001,doi,0
10.5152/tud.2017.03185,doi,0
10.1213/ane.0b013e318174df8b,doi,0
10.1007/s11695-013-0958-3,doi,0
10.1001/jama.2013.278587,doi,0
10.5812/aapm.4300,doi,0
10.1007/s11695-018-3313-x,doi,0
10.1097/SAP.0b013e3181cc2a24,doi,0
10.1093/bja/aer458,doi,0
10.1097/eja.0000000000000793,doi,0
10.1111/pan.12561,doi,0
10.1152/physrev.1986.66.1.172,doi,0
10.1007/s11695-017-2562-4,doi,0
10.1055/s-2006-932215,doi,0
10.7812/tpp/18-002,doi,0
10.1002/j.1875-9114.1982.tb03172.x,doi,1
10.1016/j.brainresbull.2015.08.003,doi,0
10.1007/s12630-015-0357-4,doi,0
10.1079/pns19820018,doi,0
10.1213/ane.0000000000002178,doi,0
10.1097/00006534-198607000-00031,doi,0
10.1007/s11695-009-9944-1,doi,0
10.1093/bja/aen067,doi,0
10.1097/ALN.0b013e318209a92d,doi,0
10.1016/j.physbeh.2010.03.009,doi,0
10.1016/j.bjan.2013.10.013,doi,0
10.1097/brs.0000000000002853,doi,0
10.1007/bf03018709,doi,1
10.1381/096089200321668703,doi,1
10.1016/j.soard.2014.12.030,doi,0
10.1310/hpj4806-479,doi,0
10.1016/j.jclinane.2020.109729,doi,0
10.1016/0026-0495(77)90045-2,doi,0
10.1097/aco.0000000000000187,doi,0
10.1213/ANE.0b013e3182a9b042,doi,0
10.1016/0753-3322(93)90080-5,doi,0
10.1213/ane.0000000000001578,doi,0
10.1213/ane.0000000000004509,doi,0
10.1093/bja/aem164,doi,0
10.1007/s40262-017-0544-2,doi,1
10.1016/j.accpm.2019.12.009,doi,0
10.1016/j.rmr.2019.01.009,doi,0
10.1016/j.lpm.2018.01.016,doi,0
10.1007/s11695-013-1077-x,doi,0
10.1007/s11695-015-1759-7,doi,0
10.1055/s-2007-994809,doi,0
10.1089/gyn.2012.0142,doi,0
10.1381/096089206776327341,doi,0
10.1007/s11695-020-04559-4,doi,1
10.1016/j.jclinane.2018.06.030,doi,0
10.1016/j.jclinane.2005.05.009,doi,0
10.1590/0100-6991e-20192252,doi,0
10.5055/jom.2013.0156,doi,0
10.1007/s11695-007-9079-1,doi,0
10.1089/pop.2018.0210,doi,0
10.1080/00207454.2019.1709841,doi,0
10.1016/j.bjps.2019.11.003,doi,0
10.1055/s-2007-1003667,doi,0
10.1002/cmdc.200700143,doi,0
10.1007/s11695-010-0203-2,doi,0
10.4103/0970-9185.130041,doi,0
10.1055/s-0037-1603956,doi,0
10.1034/j.1399-6576.2003.00148.x,doi,0
10.1016/j.soard.2017.07.030,doi,1
10.1111/j.1472-8206.2010.00867.x,doi,0
10.1089/lap.2005.15.6,doi,0
10.1038/tp.2014.28,doi,0
10.1016/j.soard.2012.01.014,doi,0
10.1007/s11695-015-1817-1,doi,1
10.12688/f1000research.13206.2,doi,0
10.1007/bf03027725,doi,0
10.1097/00000542-199303000-00032,doi,0
10.1007/s11695-018-3526-z,doi,0
10.1016/j.ygyno.2014.11.013,doi,0
10.1016/j.soard.2010.12.007,doi,0
10.1186/s40064-015-1153-x,doi,0
10.1007/s40261-018-0662-0,doi,1
10.1111/ner.12886,doi,0
10.1113/expphysiol.2011.064220,doi,0
10.1590/0102-672020190001e1432,doi,0
10.1007/s11606-016-3940-7,doi,0
10.1097/md.0000000000016842,doi,0
10.1038/sj.bjp.0704944,doi,0
10.1097/00004311-197715020-00001,doi,0
10.2217/pgs.11.68,doi,0
10.1097/eja.0000000000000929,doi,0
10.1111/j.1399-6576.2011.02486.x,doi,0
10.1007/bf03017850,doi,0
10.1186/1745-6215-12-51,doi,0
10.1016/s0031-9384(02)00751-5,doi,0
10.29271/jcpsp.2019.08.697,doi,0
10.1007/s11695-007-9170-7,doi,0
10.1038/nrendo.2013.199,doi,0
10.1016/j.ijoa.2017.06.003,doi,0
10.2147/lra.S64279,doi,0
10.1530/eje-18-0530,doi,0
10.1007/bf03019111,doi,0
10.1016/j.accpm.2017.09.004,doi,0
10.1016/s0034-7094(09)70092-3,doi,0
10.1007/s11695-019-03732-8,doi,0
10.1186/s13019-019-0841-y,doi,0
10.1016/j.ijoa.2004.03.007,doi,0
10.4103/cjp.Cjp_23_19,doi,0
10.2165/11317150-000000000-00000,doi,0
10.1007/s11695-010-0143-x,doi,0
10.1007/s40262-014-0163-0,doi,1
10.1016/j.phrs.2016.08.031,doi,1
10.1021/acs.molpharmaceut.5b00656,doi,0
10.1016/j.phrs.2016.09.034,doi,0
10.2147/jpr.S172235,doi,0
10.1037/1064-1297.15.2.123,doi,0
10.1016/j.ejphar.2009.06.041,doi,0
10.1016/s0091-3057(99)00042-8,doi,0
10.3109/10826084.2013.841246,doi,0
10.1007/s11695-013-1110-0,doi,0
10.1093/jat/19.6.531,doi,0
10.1016/j.spinee.2018.08.006,doi,0
10.1016/s0034-7094(09)70081-9,doi,0
10.3389/fnbeh.2018.00199,doi,0
10.1016/0006-8993(85)90080-0,doi,0
10.1177/1071100713496224,doi,0
10.1007/s11695-018-03668-5,doi,0
10.1021/cn500295q,doi,0
10.1016/j.ijporl.2012.11.012,doi,0
10.1016/s0034-9356(11)70042-1,doi,0
10.1016/j.brainresbull.2017.06.019,doi,0
10.1016/s1072-7515(01)00822-5,doi,0
10.1080/15360288.2019.1668902,doi,0
