doi,openalex_id,label_included,method,pmid
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
https://doi.org/10.1056/nejmoa1703068,https://openalex.org/W2734287351,1,manual,https://pubmed.ncbi.nlm.nih.gov/29171814
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
