doi,openalex_id,label_included,pmid,method
https://doi.org/10.1016/j.cois.2018.12.001,https://openalex.org/W2905088932,1,https://pubmed.ncbi.nlm.nih.gov/31358187,id_retrieval_doi
https://doi.org/10.1016/j.nbd.2018.11.026,https://openalex.org/W2907170302,1,https://pubmed.ncbi.nlm.nih.gov/30610916,id_retrieval_doi
https://doi.org/10.1016/j.evalprogplan.2018.11.008,https://openalex.org/W2902802890,1,https://pubmed.ncbi.nlm.nih.gov/30503947,id_retrieval_doi
https://doi.org/10.1016/j.ijmedinf.2018.12.007,https://openalex.org/W2906368423,1,https://pubmed.ncbi.nlm.nih.gov/30784422,id_retrieval_doi
https://doi.org/10.1016/j.baae.2018.12.001,https://openalex.org/W2904838385,1,,id_retrieval_doi
https://doi.org/10.1016/j.envpol.2018.12.090,https://openalex.org/W2908138596,1,https://pubmed.ncbi.nlm.nih.gov/30623840,id_retrieval_doi
https://doi.org/10.1016/j.anbehav.2018.11.013,https://openalex.org/W2908289791,1,,id_retrieval_doi
https://doi.org/10.1007/s00114-018-1597-2,https://openalex.org/W2909893686,1,https://pubmed.ncbi.nlm.nih.gov/30617515,id_retrieval_doi
https://doi.org/10.1111/eth.12834,https://openalex.org/W2907580679,1,,id_retrieval_doi
https://doi.org/10.1016/j.jembe.2018.11.002,https://openalex.org/W2901638986,1,,id_retrieval_doi
https://doi.org/10.1016/j.amepre.2018.09.024,https://openalex.org/W2903635703,1,https://pubmed.ncbi.nlm.nih.gov/30573335,id_retrieval_doi
https://doi.org/10.1016/j.cell.2018.11.023,https://openalex.org/W2904183492,1,https://pubmed.ncbi.nlm.nih.gov/30580965,id_retrieval_doi
https://doi.org/10.1016/j.anbehav.2018.10.020,https://openalex.org/W2902330086,1,,id_retrieval_doi
https://doi.org/10.1007/s00442-018-4313-1,https://openalex.org/W2903696539,1,https://pubmed.ncbi.nlm.nih.gov/30535723,id_retrieval_doi
https://doi.org/10.1108/caer-07-2018-0157,https://openalex.org/W2910587660,1,,id_retrieval_doi
https://doi.org/10.1123/ijsnem.2018-0034,https://openalex.org/W2802901530,1,https://pubmed.ncbi.nlm.nih.gov/29757051,id_retrieval_doi
https://doi.org/10.1002/imhj.21761,https://openalex.org/W2906680145,1,https://pubmed.ncbi.nlm.nih.gov/30586472,id_retrieval_doi
https://doi.org/10.4103/psychiatry.indianjpsychiatry_549_18,https://openalex.org/W2948224989,1,https://pubmed.ncbi.nlm.nih.gov/30745648,id_retrieval_doi
https://doi.org/10.1098/rspb.2018.2370,https://openalex.org/W2905430234,1,https://pubmed.ncbi.nlm.nih.gov/30963890,id_retrieval_doi
https://doi.org/10.1111/jfb.13840,https://openalex.org/W2897527543,1,https://pubmed.ncbi.nlm.nih.gov/30345517,id_retrieval_doi
https://doi.org/10.1002/ece3.4689,https://openalex.org/W2900517454,1,https://pubmed.ncbi.nlm.nih.gov/30598816,id_retrieval_doi
https://doi.org/10.1002/bdr2.1416,https://openalex.org/W2901892312,1,https://pubmed.ncbi.nlm.nih.gov/30430765,id_retrieval_doi
https://doi.org/10.1534/g3.118.200585,https://openalex.org/W2896582445,1,https://pubmed.ncbi.nlm.nih.gov/30333191,id_retrieval_doi
https://doi.org/10.3354/meps12763,https://openalex.org/W2895249925,1,,id_retrieval_doi
https://doi.org/10.1037/com0000150,https://openalex.org/W2901848717,1,https://pubmed.ncbi.nlm.nih.gov/30451523,id_retrieval_doi
https://doi.org/10.1371/journal.pone.0208210,https://openalex.org/W2903305036,1,https://pubmed.ncbi.nlm.nih.gov/30475915,id_retrieval_doi
https://doi.org/10.1016/j.tree.2018.08.004,https://openalex.org/W2892360159,1,https://pubmed.ncbi.nlm.nih.gov/30241777,id_retrieval_doi
https://doi.org/10.1590/1806-9282.64.10.952,https://openalex.org/W2903481182,1,https://pubmed.ncbi.nlm.nih.gov/30517244,id_retrieval_doi
,,1,,
https://doi.org/10.1007/978-981-13-1286-1_5,https://openalex.org/W2898863223,1,https://pubmed.ncbi.nlm.nih.gov/30390286,id_retrieval_doi
https://doi.org/10.1038/s41366-018-0271-2,https://openalex.org/W2900100701,1,https://pubmed.ncbi.nlm.nih.gov/30568266,id_retrieval_doi
https://doi.org/10.1108/bfj-06-2017-0344,https://openalex.org/W2900122708,1,,id_retrieval_doi
https://doi.org/10.1007/s13760-018-01057-4,https://openalex.org/W2905002619,1,https://pubmed.ncbi.nlm.nih.gov/30554347,id_retrieval_doi
https://doi.org/10.1177/1098612x18807783,https://openalex.org/W2898723145,1,https://pubmed.ncbi.nlm.nih.gov/30382770,id_retrieval_doi
https://doi.org/10.13292/j.1000-4890.201807.026,,1,,
https://doi.org/10.1177/0023677218815723,https://openalex.org/W2904150663,1,https://pubmed.ncbi.nlm.nih.gov/30526294,id_retrieval_doi
https://doi.org/10.2174/1389202919666171229145656,https://openalex.org/W2782389814,1,https://pubmed.ncbi.nlm.nih.gov/30532646,id_retrieval_doi
,https://openalex.org/W3023672932,1,,search_title
https://doi.org/10.1155/2018/2312987,https://openalex.org/W2888497927,1,https://pubmed.ncbi.nlm.nih.gov/30211213,id_retrieval_doi
https://doi.org/10.1139/cjz-2018-0006,https://openalex.org/W2887481618,1,,id_retrieval_doi
https://doi.org/10.1007/s13679-016-0200-4,https://openalex.org/W2256700937,1,https://pubmed.ncbi.nlm.nih.gov/26811004,id_retrieval_doi
https://doi.org/10.1017/gheg.2016.13,https://openalex.org/W2534140764,1,https://pubmed.ncbi.nlm.nih.gov/29868209,id_retrieval_doi
https://doi.org/10.1186/1479-5868-8-98,https://openalex.org/W2136823874,1,https://pubmed.ncbi.nlm.nih.gov/21936895,id_retrieval_doi
https://doi.org/10.1111/1574-6941.12367,https://openalex.org/W2107137742,1,https://pubmed.ncbi.nlm.nih.gov/24939668,id_retrieval_doi
https://doi.org/10.1002/ece3.2335,https://openalex.org/W2479712348,1,https://pubmed.ncbi.nlm.nih.gov/27547364,id_retrieval_doi
https://doi.org/10.1007/s10886-018-0947-z,https://openalex.org/W2793658397,1,https://pubmed.ncbi.nlm.nih.gov/29557077,id_retrieval_doi
https://doi.org/10.1163/15685381-20181042,https://openalex.org/W2557576444,1,,id_retrieval_doi
,,1,,
https://doi.org/10.1016/j.anbehav.2018.09.008,https://openalex.org/W2895967873,1,,id_retrieval_doi
https://doi.org/10.1038/s41430-018-0327-3,https://openalex.org/W2896861612,1,https://pubmed.ncbi.nlm.nih.gov/30353122,id_retrieval_doi
https://doi.org/10.1111/oik.05422,https://openalex.org/W2952629585,1,,id_retrieval_doi
https://doi.org/10.2147/prbm.s173692,https://openalex.org/W2905974866,1,https://pubmed.ncbi.nlm.nih.gov/30643472,id_retrieval_doi
https://doi.org/10.1093/biolinnean/bly150,https://openalex.org/W2904638937,1,,id_retrieval_doi
https://doi.org/10.1002/jwmg.21565,https://openalex.org/W2890462520,1,,id_retrieval_doi
https://doi.org/10.1016/j.bbr.2018.06.006,https://openalex.org/W2807323265,1,https://pubmed.ncbi.nlm.nih.gov/29890201,id_retrieval_doi
https://doi.org/10.1016/j.jtbi.2018.09.019,https://openalex.org/W2890921555,1,https://pubmed.ncbi.nlm.nih.gov/30243755,id_retrieval_doi
