openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1002/pon.1798,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/23558408,1,,
,,https://pubmed.ncbi.nlm.nih.gov/28903664,1,,
,https://doi.org/10.1007/s13187-016-1146-7,,1,,
,https://doi.org/10.1200/JCO.2011.37.7952,,1,,
,https://doi.org/10.1007/s11764-013-0298-2,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/25629892,1,,
,https://doi.org/10.1002/pon.4284,,1,,
,https://doi.org/10.1371/journal.pone.0227802,,1,,
,https://doi.org/10.1016/j.urolonc.2016.06.015,,1,,
,https://doi.org/10.1007/s00520-017-3994-z,,1,,
,https://doi.org/10.1097/DCR.0000000000000662,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/19625082,1,,
,https://doi.org/10.1245/s10434-020-08485-8,,1,,
,https://doi.org/10.1016/j.clbc.2017.11.013,,1,,
,https://doi.org/10.1111/ecc.12871,,1,,
,https://doi.org/10.1097/JTO.0b013e3181f1c8cb,,1,,
,https://doi.org/10.1016/j.jss.2019.04.037,,1,,
,https://doi.org/10.1016/j.pec.2018.05.023,,1,,
,https://doi.org/10.1001/jamaoncol.2014.112,,1,,
,https://doi.org/10.1038/bjc.2014.322,,1,,
,https://doi.org/10.1002/pon.5545,,1,,
,https://doi.org/10.1002/pon.3949,,1,,
,https://doi.org/10.1016/j.pec.2020.08.044,,1,,
,https://doi.org/10.1080/0284186X.2019.1679880,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/27040845,1,,
,,https://pubmed.ncbi.nlm.nih.gov/19828279,1,,
,https://doi.org/10.1038/sj.bjc.6604611,,1,,
,https://doi.org/10.1007/s00520-016-3476-8,,1,,
,https://doi.org/10.1200/JGO.2016.008045,,1,,
,https://doi.org/10.3747/co.v17i4.527,,1,,
,https://doi.org/10.1016/j.juro.2018.02.3091,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/23182756,1,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
