openalex_id,doi,pmid,label_included
https://openalex.org/W2951238832,https://doi.org/10.21825/vdt.v87i4.16068,,0
https://openalex.org/W1981798419,https://doi.org/10.1210/jc.2008-1164,https://pubmed.ncbi.nlm.nih.gov/18765507,0
https://openalex.org/W2091046549,https://doi.org/10.7326/0003-4819-61-2-255,,0
https://openalex.org/W2106656997,https://doi.org/10.1016/j.psyneuen.2011.09.009,,0
https://openalex.org/W3086061019,https://doi.org/10.1530/eje-20-0077,https://pubmed.ncbi.nlm.nih.gov/33112256,1
https://openalex.org/W2983922808,https://doi.org/10.1111/apa.15093,,0
https://openalex.org/W2772431971,https://doi.org/10.1136/bmjopen-2017-019365,,0
https://openalex.org/W3005079631,https://doi.org/10.1080/10253890.2020.1724949,,1
https://openalex.org/W2771524575,https://doi.org/10.1016/j.ygcen.2017.11.027,,0
https://openalex.org/W2745624097,https://doi.org/10.1111/jcpp.12770,,0
https://openalex.org/W2976431479,https://doi.org/10.1016/j.fertnstert.2019.07.295,,0
https://openalex.org/W2473948524,https://doi.org/10.1016/j.nedt.2016.06.017,,0
https://openalex.org/W2120249600,https://doi.org/10.1017/s1751731110001825,,0
https://openalex.org/W3081419421,https://doi.org/10.1093/jas/skaa269,https://pubmed.ncbi.nlm.nih.gov/32827437,0
https://openalex.org/W2122944480,https://doi.org/10.1093/conphys/cou023,,0
https://openalex.org/W4245269657,https://doi.org/10.1111/bjd.15521,,0
https://openalex.org/W2163386937,https://doi.org/10.1016/j.ygcen.2013.09.010,,0
https://openalex.org/W2888149555,https://doi.org/10.1016/j.neuroimage.2018.08.050,,0
https://openalex.org/W2561549003,https://doi.org/10.1016/j.psyneuen.2016.12.016,,0
https://openalex.org/W2805379839,https://doi.org/10.1177/1099800418779214,,0
https://openalex.org/W2588284278,https://doi.org/10.1080/10253890.2017.1296430,https://pubmed.ncbi.nlm.nih.gov/28276806,0
https://openalex.org/W2093297062,https://doi.org/10.1155/2013/340342,,1
https://openalex.org/W2888528972,https://doi.org/10.1016/j.envint.2018.08.028,,0
https://openalex.org/W3007757460,https://doi.org/10.21836/pem20170603,,0
https://openalex.org/W2418295960,https://doi.org/10.1016/j.jchromb.2016.06.002,,1
https://openalex.org/W2922062538,https://doi.org/10.1007/s12098-019-02914-7,https://pubmed.ncbi.nlm.nih.gov/30847867,0
https://openalex.org/W2999882380,https://doi.org/10.1017/s1751731119003379,,0
https://openalex.org/W2806212607,https://doi.org/10.1186/s12970-018-0229-8,,0
https://openalex.org/W2913718317,https://doi.org/10.3390/brainsci9020020,,0
https://openalex.org/W2412863104,,,0
https://openalex.org/W2762084476,https://doi.org/10.17236/sat00128,,0
https://openalex.org/W2905973739,https://doi.org/10.1080/10253890.2018.1504917,,0
https://openalex.org/W2603894239,https://doi.org/10.1159/000334327,,0
https://openalex.org/W2911277958,https://doi.org/10.1136/rmdopen-2018-000852,,1
https://openalex.org/W2070563997,https://doi.org/10.1002/wsb.219,,0
https://openalex.org/W2144346738,https://doi.org/10.1016/s0093-691x(01)00696-3,,0
https://openalex.org/W2517752876,https://doi.org/10.1002/erv.2466,,1
https://openalex.org/W2772381671,https://doi.org/10.1515/jpem-2017-0309,,0
https://openalex.org/W2766020199,https://doi.org/10.1016/j.psyneuen.2017.10.022,https://pubmed.ncbi.nlm.nih.gov/29112905,0
https://openalex.org/W2525585915,https://doi.org/10.1007/s10344-016-1049-2,,0
https://openalex.org/W2768316669,https://doi.org/10.1037/abn0000307,,0
https://openalex.org/W2807759412,https://doi.org/10.1038/s41366-018-0116-z,,1
https://openalex.org/W2897625265,https://doi.org/10.1002/smi.2842,,0
https://openalex.org/W2325372093,https://doi.org/10.1515/jpem-2014-0444,https://pubmed.ncbi.nlm.nih.gov/25719302,0
https://openalex.org/W2985183471,https://doi.org/10.1038/s41598-019-52677-6,,0
https://openalex.org/W2804653896,https://doi.org/10.1016/j.smallrumres.2018.05.009,,0
https://openalex.org/W2990521737,https://doi.org/10.1017/s0022029919000803,,0
https://openalex.org/W2910167098,https://doi.org/10.1016/j.psyneuen.2019.01.009,,0
https://openalex.org/W1563368444,https://doi.org/10.1111/j.1600-6143.2011.03534.x,,0
https://openalex.org/W1963901418,https://doi.org/10.1016/j.jas.2009.11.010,,0
https://openalex.org/W3105221449,https://doi.org/10.1186/s12902-020-00646-w,https://pubmed.ncbi.nlm.nih.gov/33167936,0
https://openalex.org/W3086869337,https://doi.org/10.1016/j.jad.2020.09.030,https://pubmed.ncbi.nlm.nih.gov/32979563,0
https://openalex.org/W2198840419,https://doi.org/10.1016/j.psychres.2015.12.025,,0
https://openalex.org/W2953357270,https://doi.org/10.1371/journal.pone.0215763,,1
https://openalex.org/W196838413,https://doi.org/10.33549/physiolres.930573,,0
https://openalex.org/W2905337733,https://doi.org/10.1159/000495189,https://pubmed.ncbi.nlm.nih.gov/30537713,0
https://openalex.org/W2912024470,https://doi.org/10.4183/aeb.2018.527,https://pubmed.ncbi.nlm.nih.gov/31149308,0
https://openalex.org/W2503348180,https://doi.org/10.1056/nejmoa1512693,https://pubmed.ncbi.nlm.nih.gov/27468060,0
https://openalex.org/W3004813879,https://doi.org/10.1038/s41598-020-58808-8,,0
https://openalex.org/W2919332564,https://doi.org/10.1016/s0735-1097(19)33309-1,,0
https://openalex.org/W2916322550,,,0
https://openalex.org/W2093204013,https://doi.org/10.1007/s00383-002-0727-1,https://pubmed.ncbi.nlm.nih.gov/12883850,0
https://openalex.org/W2113027730,https://doi.org/10.1016/j.psyneuen.2013.07.015,,0
https://openalex.org/W2593609608,https://doi.org/10.3389/fpsyt.2017.00034,,0
https://openalex.org/W2945219819,https://doi.org/10.1016/j.cca.2019.03.696,,0
https://openalex.org/W2044761599,https://doi.org/10.3109/10253890.2014.974028,,1
https://openalex.org/W2790206071,https://doi.org/10.1080/10253890.2018.1429398,https://pubmed.ncbi.nlm.nih.gov/29373934,0
https://openalex.org/W3047526489,https://doi.org/10.1186/s12888-020-02713-x,https://pubmed.ncbi.nlm.nih.gov/32762677,0
https://openalex.org/W2026708992,https://doi.org/10.1038/nrendo.2010.211,https://pubmed.ncbi.nlm.nih.gov/21178996,0
https://openalex.org/W2252835307,,,0
https://openalex.org/W4235188046,https://doi.org/10.1080/17843286.2016.1267485,https://pubmed.ncbi.nlm.nih.gov/28004605,0
https://openalex.org/W2921886091,https://doi.org/10.1136/bcr-2019-229476,https://pubmed.ncbi.nlm.nih.gov/30862670,0
https://openalex.org/W1956220471,https://doi.org/10.1111/1745-7599.12014,https://pubmed.ncbi.nlm.nih.gov/24170635,0
https://openalex.org/W2765459721,https://doi.org/10.1002/nur.21832,https://pubmed.ncbi.nlm.nih.gov/29058789,0
https://openalex.org/W2552003854,https://doi.org/10.1016/j.physbeh.2016.11.014,https://pubmed.ncbi.nlm.nih.gov/27871862,0
https://openalex.org/W101673211,,,0
https://openalex.org/W2921881428,https://doi.org/10.1038/s41598-019-40653-z,,0
https://openalex.org/W1964435984,https://doi.org/10.1016/j.jpsychores.2014.01.008,https://pubmed.ncbi.nlm.nih.gov/24630185,1
https://openalex.org/W3036516541,https://doi.org/10.1007/s00101-020-00802-w,https://pubmed.ncbi.nlm.nih.gov/32561949,0
https://openalex.org/W613388500,https://doi.org/10.1007/s10646-015-1506-9,https://pubmed.ncbi.nlm.nih.gov/26044932,0
https://openalex.org/W2903002747,https://doi.org/10.1044/2018_jslhr-l-18-0173,,0
https://openalex.org/W2591819122,https://doi.org/10.1080/10253890.2017.1303830,https://pubmed.ncbi.nlm.nih.gov/28270027,1
https://openalex.org/W2019752984,https://doi.org/10.1080/13685530500163416,https://pubmed.ncbi.nlm.nih.gov/16096160,0
https://openalex.org/W2996233440,https://doi.org/10.1186/s12885-019-6473-8,,0
https://openalex.org/W2526063998,https://doi.org/10.1177/0164027516669987,,0
https://openalex.org/W2160129580,,,0
https://openalex.org/W2796820542,https://doi.org/10.1007/s11606-018-4418-6,https://pubmed.ncbi.nlm.nih.gov/29633121,0
https://openalex.org/W2087117131,https://doi.org/10.1016/j.biopsych.2013.04.021,,0
https://openalex.org/W3007257572,https://doi.org/10.1080/10253890.2020.1732346,https://pubmed.ncbi.nlm.nih.gov/32070158,0
https://openalex.org/W2905361792,https://doi.org/10.1111/aos.13979,,0
https://openalex.org/W2139413880,https://doi.org/10.1089/105072504323030988,https://pubmed.ncbi.nlm.nih.gov/15142366,0
https://openalex.org/W2900524250,https://doi.org/10.1053/j.gastro.2018.11.030,,0
https://openalex.org/W2735716803,https://doi.org/10.4274/jcrpe.4802,,0
https://openalex.org/W2513492287,https://doi.org/10.1136/bmj.b912,https://pubmed.ncbi.nlm.nih.gov/19401328,0
https://openalex.org/W2989595175,https://doi.org/10.1038/s41390-019-0691-2,,0
https://openalex.org/W2104720541,https://doi.org/10.1111/j.1365-2265.1995.tb01874.x,,0
https://openalex.org/W2755034804,https://doi.org/10.1016/j.psyneuen.2017.07.247,,0
https://openalex.org/W1972549983,https://doi.org/10.1111/j.1749-6632.2003.tb03185.x,,0
https://openalex.org/W3026071873,https://doi.org/10.3390/biom10050801,,0
https://openalex.org/W4232868499,https://doi.org/10.1177/2397198317753493,https://pubmed.ncbi.nlm.nih.gov/35381984,0
https://openalex.org/W2508453284,https://doi.org/10.1016/j.psyneuen.2016.07.191,,1
https://openalex.org/W1483604492,https://doi.org/10.1016/0002-9378(81)90746-8,,0
https://openalex.org/W2603684978,https://doi.org/10.1159/000343184,,0
https://openalex.org/W2899627868,https://doi.org/10.1093/gerona/gly258,https://pubmed.ncbi.nlm.nih.gov/30412218,1
https://openalex.org/W2965416617,https://doi.org/10.1093/jas/skz266,,0
https://openalex.org/W186979297,,,0
https://openalex.org/W2104616693,https://doi.org/10.1210/jc.2013-2924,,1
https://openalex.org/W2971129788,https://doi.org/10.1177/0300891619872546,https://pubmed.ncbi.nlm.nih.gov/31456503,0
https://openalex.org/W2222424806,https://doi.org/10.1016/j.ijpsycho.2016.03.001,,0
