pmid,doi,openalex_id,label_included,method
https://pubmed.ncbi.nlm.nih.gov/10022678,https://doi.org/10.1016/s0022-5347(01)61760-9,https://openalex.org/W2055534266,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10023116,https://doi.org/10.1159/000008014,https://openalex.org/W2025501789,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10025697,https://doi.org/10.1038/sj.sc.3100725,https://openalex.org/W2070958250,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10030776,https://doi.org/10.1592/phco.19.3.236.30922,https://openalex.org/W1988156700,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10048871,https://doi.org/10.1093/ajhp/56.1.11,https://openalex.org/W2915745631,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10051059,https://doi.org/10.1097/00007691-199902000-00013,https://openalex.org/W1979980024,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10065917,https://doi.org/10.1177/026988119801200413,https://openalex.org/W2130140438,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10066875,https://doi.org/10.1161/01.str.30.3.692,https://openalex.org/W2478638887,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10069613,https://doi.org/10.1097/00006123-199903000-00159,https://openalex.org/W2021101206,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10083964,https://doi.org/10.1016/s0889-857x(05)70060-0,https://openalex.org/W1991771645,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10088140,https://doi.org/10.1016/s0893-133x(98)00130-4,https://openalex.org/W1567671145,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10091642,https://doi.org/10.1002/1531-8257(199903)14:2<375::aid-mds1033>3.0.co;2-s,https://openalex.org/W2045697084,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10102423,https://doi.org/10.1212/wnl.52.5.1021,https://openalex.org/W1964785025,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10155672,https://doi.org/10.2165/00019053-199508040-00005,https://openalex.org/W2063382285,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10160097,https://doi.org/10.2165/00019053-199609030-00003,https://openalex.org/W2070205951,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10168039,https://doi.org/10.2165/00019053-199700111-00004,https://openalex.org/W2119748128,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10186943,,https://openalex.org/W118835791,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10188425,https://doi.org/10.1080/01460869808951127,https://openalex.org/W1966898215,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10189176,https://doi.org/10.1002/(sici)1098-1128(199903)19:2<149::aid-med3>3.0.co;2-b,https://openalex.org/W2005215213,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10191378,https://doi.org/10.1097/00001199-199904000-00010,https://openalex.org/W2091632387,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10193597,,https://openalex.org/W183729919,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10194111,https://doi.org/10.1016/s0920-1211(98)00098-9,https://openalex.org/W2015427300,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10196419,https://doi.org/10.1016/s0733-8619(05)70141-9,https://openalex.org/W32528575,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10204647,https://doi.org/10.1023/a:1007500109522,https://openalex.org/W2185211639,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10204754,https://doi.org/10.1016/s0304-3959(98)00238-3,https://openalex.org/W2083914463,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10212638,https://doi.org/10.1080/21548331.1999.11443849,https://openalex.org/W2409526196,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10213849,https://doi.org/10.1159/000008629,https://openalex.org/W2087074174,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10214770,https://doi.org/10.1212/wnl.52.6.1298,https://openalex.org/W2025968637,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10221362,https://doi.org/10.1177/026988119901300109,https://openalex.org/W2138793862,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10222541,https://doi.org/10.2165/00007256-199927030-00004,https://openalex.org/W2038078074,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10224615,https://doi.org/10.3928/0090-4481-19990401-09,https://openalex.org/W2063918227,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10232715,https://doi.org/10.1007/bf03013223,https://openalex.org/W2087764484,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10319985,,https://openalex.org/W1853437035,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10327817,https://doi.org/10.1177/146642409911900111,https://openalex.org/W2067134392,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10328249,https://doi.org/10.1001/archneur.56.5.548,https://openalex.org/W2102657388,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10332320,,https://openalex.org/W83961071,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10334661,https://doi.org/10.1016/s0163-7258(98)00042-4,https://openalex.org/W111663151,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10335049,https://doi.org/10.2466/pr0.1999.84.2.355,https://openalex.org/W1971583650,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10335520,https://doi.org/10.1177/135245859900500208,https://openalex.org/W1975920191,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10340423,https://doi.org/10.1097/00002060-199905000-00012,https://openalex.org/W2008690030,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10340425,https://doi.org/10.1097/00002060-199905000-00018,https://openalex.org/W2085769367,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10341779,,,0,
https://pubmed.ncbi.nlm.nih.gov/10342943,,https://openalex.org/W4301860907,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10343658,https://doi.org/10.3109/13682829809179389,https://openalex.org/W2105896395,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10344609,https://doi.org/10.1093/ajhp/56.9.865,https://openalex.org/W2408017343,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10348093,https://doi.org/10.2165/00002018-199920050-00003,https://openalex.org/W1972579292,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10348475,https://doi.org/10.1002/1531-8257(199905)14:3<488::aid-mds1017>3.0.co;2-4,https://openalex.org/W2074403465,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10357319,https://doi.org/10.1097/00000539-199906000-00003,https://openalex.org/W2081700017,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10360878,https://doi.org/10.1097/00000542-199906000-00036,https://openalex.org/W1983066392,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10362908,https://doi.org/10.1046/j.1468-1331.1999.640505.x,https://openalex.org/W1985866550,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10363739,https://doi.org/10.1016/s0149-2918(00)88325-3,https://openalex.org/W2061420023,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10369175,https://doi.org/10.1038/sj.sc.3100838,https://openalex.org/W2082953792,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10377715,https://doi.org/10.1093/milmed/164.6.442,https://openalex.org/W2417621262,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10378545,https://doi.org/10.1378/chest.115.6.1533,https://openalex.org/W2145951028,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10383772,https://doi.org/10.1046/j.1525-1470.1999.00050.x,https://openalex.org/W2057414063,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10385850,https://doi.org/10.1177/088307389901400611,https://openalex.org/W2073011580,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10386120,https://doi.org/10.1016/s0025-7125(05)70129-2,https://openalex.org/W4245397264,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10386121,https://doi.org/10.1016/s0025-7125(05)70130-9,https://openalex.org/W1988751729,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10386123,https://doi.org/10.1016/s0025-7125(05)70132-2,https://openalex.org/W2077307097,0,id_retrieval_pmid
https://pubmed.ncbi.nlm.nih.gov/10386127,https://doi.org/10.1016/s0025-7125(05)70136-x,https://openalex.org/W35473184,0,id_retrieval_pmid
