id,id_type,label_included
10021952,pmid,0
10025691,pmid,0
10027027,pmid,0
10027033,pmid,0
10028307,pmid,0
10030776,pmid,0
10051763,pmid,0
10051933,pmid,0
10051934,pmid,0
10068176,pmid,0
10071701,pmid,0
10078674,pmid,0
10081516,pmid,0
10081529,pmid,0
10081530,pmid,0
10081531,pmid,0
10083964,pmid,0
10084100,pmid,0
10090435,pmid,0
10101626,pmid,0
10101629,pmid,0
10141133,pmid,0
10141140,pmid,0
10153644,pmid,0
10156211,pmid,0
10163578,pmid,0
10175652,pmid,0
10183392,pmid,0
10186467,pmid,0
10189654,pmid,0
10193215,pmid,0
10193280,pmid,0
10193284,pmid,0
10193285,pmid,0
10193286,pmid,0
10195718,pmid,0
10199350,pmid,0
10199880,pmid,0
10201671,pmid,0
10201714,pmid,0
10204735,pmid,0
10204760,pmid,0
10207461,pmid,0
10209375,pmid,0
10211014,pmid,0
10213849,pmid,0
10214482,pmid,0
10215712,pmid,0
10216434,pmid,0
10216436,pmid,0
10217341,pmid,0
10220630,pmid,0
10221469,pmid,0
10225069,pmid,0
10225070,pmid,0
10225168,pmid,0
10225169,pmid,0
10228251,pmid,0
10229408,pmid,1
10232715,pmid,0
10234493,pmid,0
10235527,pmid,0
10320603,pmid,0
10321417,pmid,0
10323113,pmid,0
10325836,pmid,0
10326986,pmid,0
10332431,pmid,0
10335806,pmid,0
10340954,pmid,0
10342006,pmid,0
10342407,pmid,0
10342415,pmid,0
10342416,pmid,0
10352657,pmid,0
10353500,pmid,0
10357424,pmid,0
10358691,pmid,0
10359427,pmid,0
10360847,pmid,0
10361663,pmid,0
10364869,pmid,0
10364998,pmid,0
10369590,pmid,0
10382920,pmid,0
10382926,pmid,0
10383545,pmid,0
10386115,pmid,0
10386120,pmid,0
10386121,pmid,0
10386123,pmid,0
10386124,pmid,0
10386127,pmid,0
10389953,pmid,0
10391814,pmid,0
10393001,pmid,0
10395414,pmid,0
10396713,pmid,0
10408823,pmid,0
10411767,pmid,0
10414471,pmid,0
10417452,pmid,0
10417454,pmid,0
10417506,pmid,0
10417863,pmid,0
10418644,pmid,0
10422664,pmid,0
10422923,pmid,0
10422926,pmid,0
10422932,pmid,0
10423055,pmid,0
10425951,pmid,0
10427455,pmid,0
10427881,pmid,0
10429417,pmid,0
10431306,pmid,0
10434236,pmid,0
10434817,pmid,0
10434819,pmid,0
10436837,pmid,0
10440466,pmid,0
10443608,pmid,0
10447905,pmid,0
10451130,pmid,0
10451131,pmid,0
10451133,pmid,0
10455841,pmid,0
10456240,pmid,0
10456820,pmid,0
10457875,pmid,0
10457880,pmid,0
10458255,pmid,0
10463519,pmid,0
10465680,pmid,0
10467917,pmid,0
10467919,pmid,0
10470633,pmid,0
10472210,pmid,0
10477194,pmid,0
10483311,pmid,0
10483385,pmid,0
10485502,pmid,0
10485772,pmid,0
10486687,pmid,0
10486991,pmid,0
10488254,pmid,0
10488295,pmid,0
10488677,pmid,0
10490154,pmid,0
10490156,pmid,0
10490157,pmid,0
10492054,pmid,0
10492407,pmid,0
10498025,pmid,0
10506672,pmid,0
10506675,pmid,0
10509323,pmid,0
10510918,pmid,0
10514020,pmid,0
10520911,pmid,0
10522577,pmid,0
10522738,pmid,0
10522739,pmid,0
10524468,pmid,0
10524469,pmid,0
10524470,pmid,1
10525594,pmid,0
10529851,pmid,0
10530535,pmid,0
10531625,pmid,0
10534607,pmid,0
10534971,pmid,0
10536549,pmid,0
10539379,pmid,0
10540058,pmid,0
10541775,pmid,1
10548210,pmid,0
10548704,pmid,0
10549465,pmid,0
10549929,pmid,0
10551571,pmid,0
10551756,pmid,0
10562783,pmid,0
10562784,pmid,0
10566922,pmid,0
10567729,pmid,0
10568861,pmid,0
10568873,pmid,0
10575502,pmid,0
10583349,pmid,0
10583355,pmid,0
10593159,pmid,0
10593465,pmid,0
10594428,pmid,0
10597055,pmid,0
10597883,pmid,0
10598433,pmid,0
10598634,pmid,0
10603686,pmid,0
10608201,pmid,0
10608204,pmid,0
10609351,pmid,0
10617261,pmid,0
10618936,pmid,0
10618937,pmid,0
10618939,pmid,0
10626714,pmid,0
10626715,pmid,0
10626931,pmid,0
10627347,pmid,0
10628627,pmid,0
10629624,pmid,0
10630837,pmid,0
10631438,pmid,0
10632947,pmid,0
10643361,pmid,0
10643545,pmid,0
10645303,pmid,0
10647800,pmid,0
10650230,pmid,0
10651671,pmid,0
10655908,pmid,0
10663002,pmid,0
10666521,pmid,0
10666525,pmid,0
10666549,pmid,0
10668859,pmid,0
10669269,pmid,0
10670117,pmid,0
10670264,pmid,0
10671837,pmid,0
10671840,pmid,0
10674503,pmid,0
10680109,pmid,0
10687523,pmid,0
10691216,pmid,0
10691220,pmid,0
10691230,pmid,0
10692629,pmid,0
10699770,pmid,0
10699771,pmid,0
10700784,pmid,0
10700786,pmid,0
10701800,pmid,0
10705425,pmid,0
