pmid,doi,openalex_id,label_included
10022678,,,0
10023116,,,0
10025697,,,0
10030776,,,0
10048871,,,0
10051059,,,0
10065917,,,0
10066875,,,0
10069613,,,0
10083964,,,0
10088140,,,0
10091642,,,0
10102423,,,0
10155672,,,0
10160097,,,0
10168039,,,0
10186943,,,0
10188425,,,0
10189176,,,0
10191378,,,0
10193597,,,0
10194111,,,0
10196419,,,0
10204647,,,0
10204754,,,0
10212638,,,0
10213849,,,0
10214770,,,0
10221362,,,0
10222541,,,0
10224615,,,0
10232715,,,0
10319985,,,0
10327817,,,0
10328249,,,0
10332320,,,0
10334661,,,0
10335049,,,0
10335520,,,0
10340423,,,0
10340425,,,0
10341779,,,0
10342943,,,0
10343658,,,0
10344609,,,0
10348093,,,0
10348475,,,0
10357319,,,0
10360878,,,0
10362908,,,0
10363739,,,0
10369175,,,0
10377715,,,0
10378545,,,0
10383772,,,0
10385850,,,0
10386120,,,0
10386121,,,0
10386123,,,0
10386127,,,0
10399620,,,0
10400178,,,0
10402329,,,0
10403067,,,0
10403221,,,0
10404981,,,0
10405520,,,0
10408573,,,0
10415946,,,0
10418650,,,0
10423057,,,0
10423584,,,0
10428737,,,0
10432267,,,0
10435961,,,0
10436292,,,0
10442129,,,0
10443094,,,0
10443898,,,0
10448546,,,0
10448824,,,0
10463370,,,0
10463380,,,0
10471245,,,0
10472018,,,0
10474732,,,0
10479045,,,0
10490857,,,0
10490860,,,0
10498344,,,0
10499139,,,0
10499173,,,0
10503060,,,0
10506672,,,0
10507452,,,0
10507712,,,0
10515478,,,0
10520345,,,0
10520979,,,0
10521887,,,0
10522336,,,0
10522337,,,0
10522340,,,0
10530738,,,0
10537958,,,0
10541228,,,0
10545555,,,0
10547405,,,0
10551442,,,0
10553814,,,0
10554047,,,0
10554671,,,0
10555663,,,0
10557122,,,0
10557131,,,0
10561780,,,0
10563602,,,0
10566916,,,0
10573599,,,0
10575153,,,0
10578244,,,0
10580885,,,0
10581981,,,0
10582773,,,0
10583351,,,0
10589628,,,0
10590412,,,0
10594431,,,0
10598634,,,0
10601965,,,0
10608672,,,0
10608915,,,0
10609925,,,0
10610631,,,0
10614570,,,0
10622791,,,0
10626931,,,0
10631642,,,0
10632947,,,0
10639729,,,0
10641979,,,0
10653203,,,0
10653204,,,0
10658982,,,0
10659025,,,0
10659073,,,0
10664901,,,0
10665979,,,0
10667964,,,0
10669210,,,0
10671778,,,0
10671840,,,0
10675434,,,0
10682230,,,0
10685385,,,0
10685624,,,0
10689591,,,0
10689628,,,0
10692597,,,0
10692600,,,0
10692630,,,0
10692631,,,0
10695888,,,0
10698329,,,0
10699450,,,0
10703293,,,0
10719857,,,0
10719971,,,0
10721387,,,0
10726235,,,0
10737282,,,0
10749947,,,0
10759899,,,0
10759904,,,0
10759908,,,0
10762189,,,0
10770520,,,1
10773513,,,0
10773856,,,0
10776831,,,0
10776832,,,0
10791538,,,0
10792881,,,0
10794581,,,0
10797404,,,0
10809909,,,0
10815038,,,0
10817103,,,0
10817106,,,0
10819089,,,0
10829359,,,0
10830425,,,0
10830428,,,0
10834341,,,0
10835990,,,0
10839552,,,0
10840082,,,0
10845739,,,0
10852643,,,0
10860142,,,0
10864219,,,0
10866495,,,0
10866910,,,0
10868785,,,0
10871249,,,0
10871832,,,0
10874687,,,0
10875297,,,0
10875526,,,0
10880282,,,0
10884762,,,0
10888218,,,0
10894995,,,0
10897521,,,0
10904217,,,0
10909408,,,0
10910862,,,0
10917408,,,0
10919603,,,0
10928147,,,0
10934575,,,0
10935004,,,0
10935852,,,0
10938609,,,0
10940092,,,0
10949061,,,0
10952483,,,0
10958046,,,0
10958127,,,0
10960399,,,0
10961769,,,0
10968822,,,0
10968887,,,0
10969251,,,0
10970262,,,0
10971659,,,1
10971668,,,0
10978803,,,0
10979798,,,0
10981935,,,0
10983739,,,0
10985996,,,0
10998719,,,0
10999675,,,0
11005068,,,0
11012043,,,0
11013503,,,0
11018227,,,0
11018829,,,0
11020635,,,0
11029681,,,0
11034458,,,0
11036173,,,0
11037070,,,0
11037075,,,0
11037747,,,0
11037748,,,0
11043086,,,0
11051124,,,0
11051125,,,0
11054142,,,0
11060540,,,0
11060714,,,0
11060815,,,0
11065017,,,0
11070373,,,0
11070964,,,0
11075846,,,0
11083304,,,0
11085199,,,0
11089724,,,0
11090860,,,0
11091295,,,0
11091296,,,0
11094007,,,0
11094125,,,0
11094920,,,0
11104201,,,0
11104213,,,0
11104214,,,0
11104224,,,0
11105446,,,0
11108516,,,0
11110229,,,0
11112936,,,0
11113287,,,0
11114771,,,0
11127248,,,0
11128824,,,0
11129121,,,0
11135028,,,0
11145638,,,0
11153788,,,0
11155582,,,0
11165832,,,0
11166482,,,0
11179939,,,0
11185666,,,0
11193288,,,0
11197716,,,0
11198499,,,0
11199956,,,0
11200305,,,0
11204287,,,0
11207874,,,0
11210205,,,0
11213523,,,0
11219314,,,0
11219477,,,0
11224009,,,0
11225532,,,0
11225950,,,0
11225951,,,0
11225954,,,0
11225955,,,0
11225957,,,0
11225960,,,0
11225961,,,0
11226724,,,0
11232736,,,0
11251695,,,0
11251703,,,0
11255059,,,0
11256460,,,0
11257173,,,0
11266015,,,0
11270559,,,0
11272678,,,0
11275468,,,0
11275579,,,0
11277611,,,0
11279960,,,0
11281816,,,0
11284869,,,0
11289081,,,0
11292228,,,0
11294916,,,0
11295794,,,0
11301568,,,0
11305407,,,0
11305689,,,0
11318882,,,0
11323153,,,0
11323341,,,0
11325322,,,0
11327562,,,0
11330850,,,0
11334090,,,0
11334233,,,0
11336578,,,0
11336614,,,0
11350333,,,0
11350465,,,0
11350660,,,0
11351014,,,0
11358075,,,0
11359117,,,0
11372804,,,1
11379275,,,0
11388711,,,0
11393424,,,0
11401105,,,0
11402361,,,0
11402494,,,0
11402588,,,0
11406679,,,0
11412164,,,0
11417373,,,0
11419677,,,0
11419779,,,0
11421524,,,0
11429091,,,0
11429744,,,0
11434793,,,0
11437763,,,0
11438846,,,0
11440347,,,0
11442324,,,0
11446601,,,0
11448278,,,0
11448376,,,0
11453335,,,0
11455746,,,0
11459722,,,0
11465868,,,0
11466026,,,0
11471478,,,0
11471768,,,0
11473971,,,0
11480103,,,0
11481148,,,0
11485613,,,0
11486114,,,0
11489680,,,0
11489746,,,0
11493229,,,0
11499830,,,0
11503784,,,0
11504596,,,0
11505344,,,0
11508070,,,0
11508915,,,0
11508924,,,0
11509078,,,0
11510399,,,0
11512071,,,0
11513337,,,0
11516219,,,0
11523691,,,0
11525699,,,0
11527280,,,0
11531863,,,0
11531902,,,0
11533794,,,0
11539872,,,0
11543693,,,0
11546903,,,0
11548979,,,0
11549915,,,0
11550110,,,0
11553240,,,0
11553248,,,0
11558854,,,0
11560197,,,0
11562296,,,0
11565961,,,0
11567932,,,0
11572661,,,0
11572665,,,0
11574378,,,0
11575712,,,0
11576211,,,0
11576212,,,0
11576751,,,0
11579652,,,0
11587248,,,0
11587432,,,0
11587881,,,0
11592560,,,0
11594913,,,0
11595003,,,0
11595088,,,0
11600260,,,0
11603417,,,0
11604563,,,0
11641414,,,0
11642235,,,0
11665821,,,0
11665830,,,0
11665869,,,0
11673017,,,0
11675904,,,0
11683664,,,0
11685018,,,0
11693467,,,0
11696512,,,0
11701260,,,0
11701265,,,0
11703480,,,0
11706129,,,0
11710814,,,0
11718166,,,0
11721141,,,0
11722324,,,0
11723387,,,0
11735614,,,0
11737169,,,0
11745906,,,0
11747383,,,0
11748742,,,0
11748762,,,0
11754194,,,0
11758076,,,0
11758858,,,0
11763016,,,0
11768928,,,0
11769270,,,0
11771222,,,0
11772130,,,0
11772289,,,0
11774176,,,0
11780880,,,0
11781861,,,0
11782234,,,0
11783808,,,0
11784817,,,0
11790481,,,0
11793620,,,0
11794173,,,0
11801805,,,0
11806403,,,0
11806760,,,0
11806868,,,0
11807151,,,0
11812404,,,0
11822933,,,0
11824439,,,0
11825309,,,0
11826632,,,0
11838624,,,0
11838651,,,0
11839118,,,0
11839868,,,0
11839869,,,0
11840097,,,0
11843689,,,0
11844237,,,0
11851029,,,0
11852168,,,0
11853321,,,0
11854101,,,0
11854102,,,0
11854778,,,0
11859441,,,0
11859973,,,0
11860611,,,0
11862186,,,0
11862502,,,0
11874169,,,0
11874615,,,0
11879291,,,0
11881522,,,0
11882775,,,0
11886696,,,0
11888234,,,0
11889417,,,0
11893227,,,0
11893276,,,0
11893350,,,0
11897533,,,0
11898891,,,0
11900259,,,0
11902270,,,0
11903116,,,0
11903278,,,0
11903539,,,0
11910268,,,0
11914542,,,0
11916566,,,0
11917982,,,0
11918513,,,0
11918524,,,0
11918647,,,0
11918650,,,0
11919456,,,0
11926423,,,0
11926700,,,0
11934341,,,0
11937086,,,0
11939465,,,0
11939466,,,0
11942863,,,0
11949756,,,0
11952445,,,0
11953547,,,0
11953549,,,0
11954855,,,0
11958360,,,0
11960156,,,0
11960163,,,0
11960888,,,0
11966493,,,0
11966555,,,0
11973011,,,0
11978166,,,0
11978208,,,0
11981174,,,0
11981352,,,0
11982834,,,0
11985646,,,0
11987312,,,0
11990648,,,0
11990877,,,0
11991094,,,0
11996516,,,0
11996634,,,0
12000201,,,0
12005276,,,0
12005322,,,0
12006167,,,0
12006760,,,0
12007518,,,0
12011556,,,0
12014911,,,0
12016244,,,0
12016348,,,0
12017380,,,0
12019585,,,0
12020062,,,0
12025635,,,0
12027316,,,0
12027784,,,0
12027913,,,0
12029447,,,0
12032942,,,0
12033715,,,0
12037705,,,0
12037709,,,0
12039124,,,0
12044130,,,0
12045723,,,0
12047467,,,0
12048417,,,0
12049708,,,0
12054096,,,0
12054099,,,0
12060335,,,0
12065987,,,0
12066906,,,0
12066969,,,0
12074203,,,0
12074349,,,0
12080868,,,0
12082036,,,0
12082341,,,0
12089845,,,0
12090550,,,0
12096935,,,0
12105300,,,0
12109814,,,0
12110117,,,0
12113100,,,0
12119076,,,0
12122913,,,0
12122916,,,0
12122917,,,0
12122923,,,0
12122924,,,0
12122925,,,0
12122927,,,0
12122928,,,0
12127146,,,0
12131110,,,0
12132559,,,0
12133253,,,0
12137213,,,0
12137404,,,0
12137411,,,0
12142071,,,0
12151115,,,0
12151472,,,0
12151910,,,0
12152963,,,0
12153333,,,0
12154272,,,0
12160664,,,0
12166004,,,0
12166503,,,0
12167135,,,1
12167136,,,0
12167142,,,0
12167143,,,0
12167526,,,0
12168565,,,0
12172351,,,0
12172525,,,0
12172730,,,0
12173548,,,0
12173979,,,0
12175322,,,0
12182688,,,0
12182689,,,0
12186578,,,0
12187323,,,0
12187335,,,0
12190354,,,0
12196059,,,0
12197456,,,0
12199723,,,0
12199724,,,0
12204313,,,0
12215864,,,0
12217208,,,0
12218517,,,0
12218520,,,0
12219724,,,0
12220384,,,0
12222974,,,0
12230591,,,0
12230733,,,0
12234085,,,0
12236044,,,0
12236804,,,0
12236904,,,0
12238622,,,0
12241121,,,0
12242550,,,0
12242555,,,0
12269842,,,0
12297251,,,0
12350382,,,0
12351281,,,0
12351285,,,0
12353057,,,0
12353127,,,0
12356204,,,0
12356617,,,0
12358578,,,0
12362930,,,0
12364844,,,0
12366881,,,0
12368992,,,0
12374576,,,0
12377887,,,0
12378742,,,0
12383029,,,0
12387687,,,0
12387704,,,0
12387706,,,0
12389143,,,0
12390045,,,0
12390051,,,0
12390637,,,0
12390642,,,0
12390909,,,0
12391445,,,0
12391470,,,0
12400247,,,0
12400853,,,0
12401626,,,0
12404078,,,0
12404675,,,0
12404685,,,0
12406532,,,0
12410780,,,0
12411712,,,0
12412881,,,0
12415081,,,0
12418356,,,0
12418630,,,0
12418790,,,0
12419717,,,0
12425363,,,0
12429265,,,0
12435999,,,0
12436003,,,0
12444816,,,0
12451200,,,0
12453029,,,0
12453045,,,0
12454558,,,0
12455139,,,0
12459412,,,0
12461142,,,0
12464508,,,0
12464512,,,0
12465067,,,0
12465092,,,0
12468021,,,0
12468583,,,0
12468808,,,0
12470180,,,0
12476528,,,0
12479527,,,0
12479667,,,0
12483501,,,0
12492544,,,0
12492607,,,0
12495367,,,0
12495368,,,0
12495645,,,0
12495648,,,0
12498011,,,0
