openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1136/annrheumdis-2021-220420,,1,,
,https://doi.org/10.1136/annrheumdis-2021-eular.143,,1,,
,https://doi.org/10.1002/acr.22848,,1,,
,https://doi.org/10.1007/s10067-018-4249-1,,1,,
,,,1,,
,https://doi.org/10.1002/art.40786,,1,,
,https://doi.org/10.1177/1759720X211051471,,1,,
,https://doi.org/10.1136/annrheumdis-2016-eular.2059,,1,,
,https://doi.org/10.1186/s41927-021-00207-1,,1,,
,https://doi.org/10.1111/jcpt.12814,,1,,
,https://doi.org/10.1136/annrheumdis-2018-213328,,1,,
,https://doi.org/10.1136/annrheumdis-2015-208490,,1,,
,https://doi.org/10.1136/annrheumdis-2019-216693,,1,,
,https://doi.org/10.1093/rheumatology/keaa876,,1,,
,https://doi.org/10.1002/art.39977,,1,,
,https://doi.org/10.3899/jrheum.170487,,1,,
,https://doi.org/10.3899/jrheum.180718,,1,,
,https://doi.org/10.1186/s13075-018-1772-z,,1,,
,https://doi.org/10.1136/annrheumdis-2019-eular.6633,,1,,
,https://doi.org/10.1136/annrheumdis-2019-eular.6791,,1,,
,https://doi.org/10.1111/joim.12880,,1,,
,https://doi.org/10.1136/annrheumdis-2019-eular.1237,,1,,
,https://doi.org/10.1136/annrheumdis-2020-eular.1969,,1,,
,https://doi.org/10.1136/annrheumdis-2017-212377,,1,,
,https://doi.org/10.1002/art.41108,,1,,
,https://doi.org/10.1136/annrheumdis-2020-eular.3136,,1,,
,,,1,,
,https://doi.org/10.1136/rmdopen-2019-001005,,1,,
,https://doi.org/10.1136/annrheumdis-2021-eular.2209,,1,,
,,,1,,
,https://doi.org/10.1093/rheumatology/keab346,,1,,
,https://doi.org/10.1136/annrheumdis-2021-eular.1124,,1,,
,,,1,,
,https://doi.org/10.1002/art.41538,,1,,
,https://doi.org/10.1002/acr.24616,,1,,
,https://doi.org/10.1007/s40744-021-00276-1,,1,,
,https://doi.org/10.1136/annrheumdis-2020-eular.598,,1,,
,https://doi.org/10.1002/art.41108,,1,,
,https://doi.org/10.1002/acr2.11102,,1,,
