openalex_id,doi,pmid,label_included,label_abstract_included,method
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
