doi,pmid,openalex_id,label_included,method
https://doi.org/10.1042/bj1300919,https://pubmed.ncbi.nlm.nih.gov/4656804,https://openalex.org/W2401025235,0,id_retrieval_pmid
,https://pubmed.ncbi.nlm.nih.gov/6542443,https://openalex.org/W2410512259,0,id_retrieval_pmid
,,https://openalex.org/W2418079034,0,search_title
https://doi.org/10.1111/ejn.12410,https://pubmed.ncbi.nlm.nih.gov/24188077,https://openalex.org/W2017388204,1,id_retrieval_pmid
https://doi.org/10.1097/00003246-200106000-00024,https://pubmed.ncbi.nlm.nih.gov/11395604,https://openalex.org/W1995720522,0,id_retrieval_pmid
https://doi.org/10.1002/ptr.1391,https://pubmed.ncbi.nlm.nih.gov/15103665,https://openalex.org/W1996157110,1,id_retrieval_pmid
https://doi.org/10.1007/s007020170077,https://pubmed.ncbi.nlm.nih.gov/11341483,https://openalex.org/W2006608223,1,id_retrieval_pmid
,,https://openalex.org/W2418627755,1,search_title
https://doi.org/10.1007/s00360-011-0580-4,https://pubmed.ncbi.nlm.nih.gov/21512743,https://openalex.org/W2051971541,0,id_retrieval_pmid
https://doi.org/10.1111/j.1600-0773.1980.tb02450.x,https://pubmed.ncbi.nlm.nih.gov/6768221,https://openalex.org/W1982689851,0,id_retrieval_pmid
https://doi.org/10.1097/00000542-199012000-00013,https://pubmed.ncbi.nlm.nih.gov/2147368,https://openalex.org/W2127282953,0,id_retrieval_pmid
https://doi.org/10.1016/j.neuropharm.2011.01.017,https://pubmed.ncbi.nlm.nih.gov/21256140,https://openalex.org/W2080123927,0,id_retrieval_doi
https://doi.org/10.5692/clinicalneurol.52.900,https://pubmed.ncbi.nlm.nih.gov/23196458,https://openalex.org/W2086860344,0,id_retrieval_pmid
https://doi.org/10.1152/jappl.1998.84.2.733,https://pubmed.ncbi.nlm.nih.gov/9475887,https://openalex.org/W1903839936,0,id_retrieval_pmid
https://doi.org/10.1016/0014-2999(91)90827-d,https://pubmed.ncbi.nlm.nih.gov/1804658,https://openalex.org/W2039208819,0,id_retrieval_pmid
https://doi.org/10.1016/s0091-6773(75)90595-7,https://pubmed.ncbi.nlm.nih.gov/1137554,https://openalex.org/W2054569536,0,id_retrieval_pmid
https://doi.org/10.1111/j.1439-0388.1997.tb00514.x,https://pubmed.ncbi.nlm.nih.gov/21395824,https://openalex.org/W1991941775,0,id_retrieval_pmid
,https://pubmed.ncbi.nlm.nih.gov/892583,https://openalex.org/W2437663016,0,id_retrieval_pmid
,,,1,
https://doi.org/10.1111/j.1476-5381.1970.tb09879.x,https://pubmed.ncbi.nlm.nih.gov/4315094,https://openalex.org/W2037833207,0,id_retrieval_pmid
